[_w tʃ ɑ ŋ ]_w
[_w e d i r ]_w
[_w t e z ]_w
[_w dʒ ɑ tʃ ]_w
[_w b o z ]_w
[_w p i ɡ i ]_w
[_w d ɑ t ɑ ]_w
[_w æ s ɑ ]_w
[_w ʒ u ŋ ɑ ]_w
[_w t e z æ ]_w
[_w p ɑ tʃ ]_w
[_w m o x ɑ ]_w
[_w i b n ]_w
[_w e dʒ i p ]_w
[_w u z ɑ q ]_w
[_w s æ b ]_w
[_w dʒ æ l b ]_w
[_w p ɑ k ]_w
[_w i dʒ ɑ b ]_w
[_w z o d ɑ ]_w
[_w p ɑ n ]_w
[_w tʃ ɑ b ɑ ]_w
[_w i l t i ]_w
[_w e dʒ i b ]_w
[_w k u dʒ ɑ ]_w
[_w ɡ u dʒ ɑ ]_w
[_w p ɑ q i ]_w
[_w tʃ æ l b ]_w
[_w s i tʃ ]_w
[_w tʃ ɑ w ]_w
[_w h e dʒ ]_w
[_w z æ p ]_w
[_w æ b u ]_w
[_w j i d i ]_w
[_w d i k æ ]_w
[_w t ɑ k i ]_w
[_w d e s æ ]_w
[_w ɣ æ r b ]_w
[_w t o ɡ ]_w
[_w æ r z ]_w
[_w ø z y p ]_w
[_w p ɑ x ]_w
[_w ɡ e tʃ æ ]_w
[_w p e d i ]_w
[_w z u x ɑ ]_w
[_w t i ɡ æ ]_w
[_w tʃ e ɡ i ]_w
[_w z u n i ]_w
[_w ø s y p ]_w
[_w e x i z ]_w
[_w b æ d ]_w
[_w dʒ o r dʒ ]_w
[_w p æ k ]_w
[_w i dʒ i k ]_w
[_w e d i q ]_w
[_w d æ m ]_w
[_w i t t i ]_w
[_w i dʒ i ɡ ]_w
[_w dʒ æ l p ]_w
[_w æ r æ b ]_w
[_w p e dʒ i ]_w
[_w ɡ y tʃ ]_w
[_w z i tʃ ]_w
[_w j æ ɡ æ ]_w
[_w x æ w p ]_w
[_w z u ɣ ɑ ]_w
[_w z o t ]_w
[_w z y t ]_w
[_w ɡ ɑ n ]_w
[_w p e tʃ i ]_w
[_w z æ b ]_w
[_w z m i s ]_w
[_w p ɑ r ]_w
[_w ɡ y n ]_w
[_w q u d ]_w
[_w ɑ d ɑ p ]_w
[_w x e d i ]_w
[_w z ɑ n ]_w
[_w z e n i ]_w
[_w d e z ]_w
[_w ɣ ɑ z ]_w
[_w ʒ i l i ]_w
[_w e ɡ i s ]_w
[_w d æ s ]_w
[_w k ø ɡ ]_w
[_w ɡ æ p ]_w
[_w æ s i z ]_w
[_w z ɑ æ t ]_w
[_w d ɑ z ɑ ]_w
[_w p o s ]_w
[_w ɣ ɑ s ]_w
[_w s i t i ]_w
[_w tʃ ɑ tʃ ]_w
[_w n i ɡ ɑ ]_w
[_w ɣ æ t ]_w
[_w d e d i ]_w
[_w z i t i ]_w
[_w z ɑ t ]_w
[_w ɡ i l i ]_w
[_w j y s ]_w
[_w t æ ɡ ]_w
[_w ʃ æ j x ]_w
[_w ɡ æ ŋ ]_w
[_w ɡ i m ]_w
[_w p æ ɡ ]_w
[_w e d i b ]_w
[_w ɡ ø ɡ ]_w
[_w z o d ]_w
[_w z o t ɑ ]_w
[_w p æ ɣ d ]_w
[_w p æ t ]_w
[_w æ z i z ]_w
[_w ɡ æ b ]_w
[_w d æ r z ]_w
[_w ɣ æ d ]_w
[_w b æ ɡ ]_w
[_w t e d i ]_w
[_w z ø z ]_w
[_w ɡ i n o ]_w
[_w ɡ o n ɑ ]_w
[_w z y d ]_w
[_w e d i ]_w
[_w z ɑ d ]_w
[_w ɡ ø s ]_w
[_w ɣ æ w p ]_w
[_w ʒ u ɡ i ]_w
[_w z ɑ æ d ]_w
[_w ɡ e dʒ æ ]_w
[_w ɡ o dʒ ɑ ]_w
[_w z ø s ]_w
[_w ɣ e d i ]_w
