[_w k o z ]_w
[_w k a l ]_w
[_w t ɔ nː a ]_w
[_w a χ i ɾ ]_w
[_w i dʒ ɔ d ]_w
[_w ɛ ɾ ɔ n ]_w
[_w i z d a ]_w
[_w ɾ ɛ a l ]_w
[_w a d a p ]_w
[_w k o p i ]_w
[_w i n tʃ i ]_w
[_w ɔ z ɔ ɾ ]_w
[_w i ʃ k a ]_w
[_w i j u l ]_w
[_w i ʃ tʃ i ]_w
[_w m ɔ s ]_w
[_w u s u l ]_w
[_w w l a t ]_w
[_w ɔ p i t ]_w
[_w d a ɾ k ]_w
[_w o tː i s ]_w
[_w s i ɾ ]_w
[_w a j t ]_w
[_w ɔ n a m ]_w
[_w dʒ a m ]_w
[_w j ɔ z i ]_w
[_w j u z ]_w
[_w b ɛ ʃ ]_w
[_w χ a d ]_w
[_w z a b d ]_w
[_w χ a f a ]_w
[_w j ɔ ɣ ]_w
[_w a s i j ]_w
[_w p u l i ]_w
[_w ɛ ɡ a ]_w
[_w χ a m ɾ ]_w
[_w z a w ]_w
[_w i l a ]_w
[_w ɾ ɔ s t ]_w
[_w n i z ɔ ]_w
[_w ɡ o z i ]_w
[_w d a ɾ ɡ ]_w
[_w n ɛ k a ]_w
[_w u dʒ d a ]_w
[_w k o dʒ a ]_w
[_w a b i ]_w
[_w a z a m ]_w
[_w z o ŋ ]_w
[_w o l ɡ a ]_w
[_w i tʃ ɔ d ]_w
[_w j ɛ p ]_w
[_w tʃ ɛ ɡ ]_w
[_w b ɔ j ]_w
[_w t a ɾ k ]_w
[_w d ɔ ɾ i ]_w
[_w ɾ o s a ]_w
[_w o ɾ a b ]_w
[_w d o j ]_w
[_w b a χ ʃ ]_w
[_w tʃ ɛ t ]_w
[_w s i d ]_w
[_w t ɛ ɾ i ]_w
[_w b ɛ ɾ ]_w
[_w z o z ]_w
[_w p ɔ ɾ d ]_w
[_w ɔ w ɔ s ]_w
[_w ɛ ɾ i ]_w
[_w ɾ u h i ]_w
[_w s ɔ a d ]_w
[_w k a s i ]_w
[_w s ɔ p i ]_w
[_w z u d i ]_w
[_w ɛ ɾ ɡ a ]_w
[_w ʃ a j χ ]_w
[_w i m ɔ m ]_w
[_w q a l p ]_w
[_w q o j ]_w
[_w ɛ s ɡ i ]_w
[_w i m z ɔ ]_w
[_w tʃ i m ]_w
[_w q a j ]_w
[_w t ɔ ʃ ]_w
[_w dʒ a z ɔ ]_w
[_w u mː a t ]_w
[_w p a l ɔ ]_w
[_w t ɛ z ]_w
[_w ɡ u ɾ a ]_w
[_w ɛ z ɡ u ]_w
[_w t a ɡ i ]_w
[_w ɡ ɛ l ]_w
[_w a ɡ a ]_w
[_w t o q ]_w
[_w b a n t ]_w
[_w d a l i ]_w
[_w i l ɡ ]_w
[_w n u ɾ i ]_w
[_w s a l ]_w
[_w i ʃ i ]_w
[_w ɡ o ʃ d ]_w
[_w χ i l ]_w
[_w q a ɾ i ]_w
[_w i n t a ]_w
[_w i z ɔ ]_w
[_w ɣ u s l ]_w
[_w z ɔ dʒ ]_w
[_w u n dʒ a ]_w
[_w s a i t ]_w
[_w ɛ s k u ]_w
[_w ɔ ɾ ɔ m ]_w
[_w u ʃ p u ]_w
[_w k ɛ dʒ ]_w
[_w t a n ]_w
[_w ɔ d i l ]_w
[_w χ a d ɔ ]_w
[_w a p u ]_w
[_w ɔ d a ]_w
[_w t ɛ s a ]_w
[_w b o ʃ ]_w
[_w sː s ɾ ]_w
[_w t a m ]_w
[_w t u s ]_w
[_w ɔ m i ɾ ]_w
[_w z a ɾ f ]_w
[_w z ɛ ŋ a ]_w
[_w s o s i ]_w
[_w o χ h ]_w
[_w k u tʃ ]_w
[_w u k a ]_w
[_w ɡ o p ]_w
[_w ɛ lː i k ]_w
[_w s i t ]_w
[_w s ɔ b i ]_w
[_w ɡ u tʃ ]_w
[_w ɛ d i ]_w
[_w d ɛ ɾ ]_w
[_w a k a m ]_w
[_w tʃ ɔ j ]_w
[_w q a d i ]_w
[_w m i n i ]_w
[_w q u l ]_w
[_w s a w ]_w
[_w s a d ]_w
[_w k o ɾ ]_w
[_w t ɛ b ]_w
[_w k o b ]_w
[_w tʃ a z ɔ ]_w
[_w d ɛ t i ]_w
[_w n a f l ]_w
[_w d ɛ ɾ i ]_w
[_w t ɛ ɾ ]_w
[_w s a ɾ f ]_w
[_w b ɔ k ]_w
[_w d i ɾ ]_w
[_w dʒ ɔ b ]_w
[_w s o s ]_w
[_w d u t i ]_w
[_w d ɔ b ɛ ]_w
[_w ɡ u ŋ i ]_w
[_w ɔ ʃ t i ]_w
[_w a s i z ]_w
[_w d u ɔ ]_w
[_w ɡ o p i ]_w
[_w k u dʒ ]_w
[_w ɛ d i b ]_w
[_w z ɔ ɾ ]_w
[_w t a s a ]_w
[_w i j s ɔ ]_w
[_w s ɔ j a ]_w
[_w ɔ dʒ i ʃ ]_w
[_w f a ɾ i ]_w
[_w b ɔ p ]_w
[_w z ɔ n i ]_w
[_w j a ɡ ]_w
[_w a t ɔ ]_w
[_w ɡ u nː i ]_w
[_w t i ɾ ]_w
[_w u l ɡ a ]_w
[_w b a t i ]_w
[_w q a d l ]_w
[_w t ɔ ɾ i ]_w
[_w a ɾ z i ]_w
[_w o d i b ]_w
[_w dʒ a p ]_w
[_w a z ɔ n ]_w
[_w z ɛ ɾ ɔ ]_w
[_w k o s i ]_w
[_w u j t a ]_w
[_w b a z ]_w
[_w tʃ a s ɔ ]_w
[_w b ɔ s ]_w
[_w o ɾ i n ]_w
[_w ɡ u l ]_w
[_w l a ɾ i ]_w
[_w s ɔ l a ]_w
[_w b i z ]_w
[_w k u ŋ i ]_w
[_w z ɔ d i ]_w
[_w t ɔ ɣ ]_w
[_w a k a ]_w
[_w o s k a ]_w
[_w i tʃ ɾ ɔ ]_w
[_w t u ɾ k ]_w
[_w ɡ o z ]_w
[_w a s l ɔ ]_w
[_w a l t a ]_w
[_w ɛ d a ]_w
[_w s u w i ]_w
[_w a z l ɔ ]_w
[_w ɾ ɛ dʒ a ]_w
[_w d a ɡ i ]_w
[_w z a t a ]_w
[_w b ɔ z ]_w
[_w a ɾ s ]_w
[_w ɛ d ɡ a ]_w
[_w dʒ a b ]_w
[_w i tʃ i k ]_w
[_w χ a t ɔ ]_w
[_w n a q d ]_w
[_w ɔ ɾ z u ]_w
[_w ɔ l a ]_w
[_w d u j a ]_w
[_w z u t ]_w
[_w z ɛ n i ]_w
[_w o q i ŋ ]_w
[_w tʃ a ɾ ]_w
[_w ɡ a z i ]_w
[_w z a j d ]_w
[_w o s ɡ a ]_w
[_w i s m ]_w
[_w t i k ]_w
[_w i j z ɔ ]_w
[_w b ɔ b ]_w
[_w ɔ tʃ i z ]_w
[_w t a p i ]_w
[_w tʃ a p ɾ ]_w
[_w z ɔ t ]_w
[_w i l k ]_w
[_w b a dʒ ɔ ]_w
[_w d a t a ]_w
[_w i tʃ ɡ i ]_w
[_w tʃ a lː a ]_w
[_w ɾ u s t ]_w
[_w ɾ a d ]_w
[_w m u ɔ z ]_w
[_w ɡ ɛ dʒ ]_w
[_w s a b d ]_w
[_w ɛ d i k ]_w
[_w m ɔ z ]_w
[_w a n a s ]_w
[_w a z i s ]_w
[_w a d i b ]_w
[_w o z k a ]_w
[_w t u j a ]_w
[_w dʒ ɔ p ]_w
[_w d ɔ ʃ ]_w
[_w d ɛ z a ]_w
[_w tʃ u d ɔ ]_w
[_w u ɾ i b ]_w
[_w d i k ]_w
[_w o s i ]_w
[_w ɔ j t a ]_w
[_w i ʃ ɡ a ]_w
[_w d ɛ d i ]_w
[_w t ɛ p ]_w
[_w ɔ dʒ i q ]_w
[_w ɛ d a ɾ ]_w
[_w d o z t ]_w
[_w b ɔ i z ]_w
[_w b o l ]_w
[_w tʃ ɔ m ɛ ]_w
[_w a tʃ a b ]_w
[_w a w tʃ ]_w
[_w j ɔ d ]_w
[_w k a p ]_w
[_w p ɔ i s ]_w
[_w q a ɾ s ]_w
[_w z ɔ f ]_w
[_w n ɔ d a ]_w
[_w p i ɾ ]_w
[_w t ɔ ɡ i ]_w
[_w o l i b ]_w
[_w a tʃ ɾ ]_w
[_w dʒ u d ɔ ]_w
[_w z i f a ]_w
[_w z u w ]_w
[_w u dʒ i b ]_w
[_w p u ŋ a ]_w
[_w ɡ a dː a ]_w
[_w tʃ u t a ]_w
[_w z o s i ]_w
[_w ɾ a ɡ a ]_w
[_w d o s t ]_w
[_w i s ɡ a ]_w
[_w χ u ʃ ]_w
[_w t i ɡ ]_w
[_w u s ɾ ]_w
[_w m a z i ]_w
[_w t i k i ]_w
[_w o d a ɾ ]_w
[_w tʃ a ŋ ]_w
[_w s a t ]_w
[_w t o z t ]_w
[_w u z u n ]_w
[_w k ɛ tʃ ]_w
[_w dʒ a p ɾ ]_w
[_w ɡ a s b ]_w
[_w ɔ d i b ]_w
[_w a j d ]_w
[_w m a z h ]_w
[_w z a t ]_w
[_w ɔ tʃ d i ]_w
[_w tʃ a m ]_w
[_w s ɔ dʒ ]_w
[_w ɛ n t i ]_w
[_w i s n ]_w
[_w o s i ŋ ]_w
[_w d i ɾ i ]_w
[_w ɔ tʃ i s ]_w
[_w tʃ ɛ d ]_w
[_w t ɛ z a ]_w
[_w b a d i ]_w
[_w p ɔ b ]_w
[_w ɾ u z d ]_w
[_w ɡ i m ]_w
[_w p a s t ]_w
[_w o l k a ]_w
[_w z a b ɾ ]_w
[_w z o ɾ ]_w
[_w d a s a ]_w
[_w ɡ u tʃ i ]_w
[_w i dʒ ɔ t ]_w
[_w d u ʃ ]_w
[_w z a i f ]_w
[_w z ɔ l a ]_w
[_w s a t a ]_w
[_w p ɔ ɾ t ]_w
[_w ɛ s ɡ u ]_w
[_w tʃ u d a ]_w
[_w z a p ɾ ]_w
[_w a p u l ]_w
[_w d a k i ]_w
[_w s u t i ]_w
[_w n a d ɔ ]_w
[_w d a m ]_w
[_w ɣ u z l ]_w
[_w dʒ ɛ k ]_w
[_w i s n i ]_w
[_w p i n ɔ ]_w
[_w a bː ɔ z ]_w
[_w p i dː a ]_w
[_w a ɾ z ]_w
[_w i tʃ i ɡ ]_w
[_w a h d ]_w
[_w a n d i ]_w
[_w z i k ɾ ]_w
[_w d o b ]_w
[_w b a s d ]_w
[_w tʃ ɔ nː i ]_w
[_w d u s ]_w
[_w a h t ]_w
[_w χ ɛ dʒ ]_w
[_w o tː i z ]_w
[_w d ɔ ɣ ]_w
[_w ɡ a s i ]_w
[_w d i dʒ ɔ ]_w
[_w p a h s ]_w
[_w z i t ]_w
[_w t u dʒ ]_w
[_w a tʃ i b ]_w
[_w z i d ]_w
[_w i m s ɔ ]_w
[_w f a t h ]_w
[_w z a d ]_w
[_w p ɔ ʃ ]_w
[_w d ɔ ɣ a ]_w
[_w ɡ o tʃ a ]_w
[_w a z ɾ ]_w
[_w a zː a ]_w
[_w p a z i ]_w
[_w i s d a ]_w
[_w m a s t ]_w
[_w p a j d ]_w
[_w a k a n ]_w
[_w s ɔ tʃ ]_w
[_w i dʒ i k ]_w
[_w a n a z ]_w
[_w z o m ]_w
[_w z ɔ dː a ]_w
[_w z a j t ]_w
[_w t ɔ s a ]_w
[_w ɔ dʒ i z ]_w
[_w tʃ ɔ p ]_w
[_w ɡ ɛ ŋ ]_w
[_w ɾ u s d ]_w
[_w a p i ]_w
[_w d ɔ s a ]_w
[_w d u z ]_w
[_w z i z ]_w
[_w p a d i ]_w
[_w d ɔ z a ]_w
[_w z u d ]_w
[_w d ɛ s ]_w
[_w p a ɾ i ]_w
[_w ɡ ɛ tʃ a ]_w
[_w k a tʃ a ]_w
[_w a ɡ a m ]_w
[_w d u tʃ ]_w
[_w p u n i ]_w
[_w d ɔ n a ]_w
[_w z u w i ]_w
[_w ɔ z t i ]_w
[_w p i t a ]_w
[_w k o s ]_w
[_w t ɛ s ]_w
[_w o n t a ]_w
[_w ɡ a dʒ a ]_w
[_w d i k i ]_w
[_w ɔ p ɔ t ]_w
[_w ɛ l k a ]_w
[_w f ɔ ɾ z ]_w
[_w j u ɡ ]_w
[_w p ɔ ɾ ]_w
[_w b a d ɾ ]_w
[_w d ɔ ŋ ]_w
[_w d ɛ b ]_w
[_w z ɔ p i ]_w
[_w ɛ d i m ]_w
[_w ɛ d i ʃ ]_w
[_w ɔ tʃ i q ]_w
[_w t ɛ d i ]_w
[_w o d i ʃ ]_w
[_w d a z a ]_w
[_w d i ɡ ]_w
[_w p a n k ]_w
[_w tʃ a p ]_w
[_w t i tʃ ɔ ]_w
[_w ɔ l z a ]_w
[_w ɡ a m ]_w
[_w ɡ o s ]_w
[_w k a p a ]_w
[_w z i ɾ ]_w
[_w ɡ a p i ]_w
[_w ɛ z a ]_w
[_w b i t a ]_w
[_w m a z d ]_w
[_w i z t a ]_w
[_w p ɔ j ]_w
[_w p i n ]_w
[_w d ɔ p a ]_w
[_w d i ɡ i ]_w
[_w z a p d ]_w
[_w p ɔ k ]_w
[_w ɛ ɾ k ]_w
[_w a dʒ a p ]_w
[_w u p a j ]_w
[_w ɡ a s ]_w
[_w a tʃ a p ]_w
[_w tʃ u t ɔ ]_w
[_w o d a ]_w
[_w b a z t ]_w
[_w ɡ o dʒ a ]_w
[_w j ɛ ɡ ɔ ]_w
[_w ɾ ɔ z t ]_w
[_w d o p ]_w
[_w n i t ɔ ]_w
[_w z a ɾ ɔ ]_w
[_w a t a p ]_w
[_w p a h ɔ ]_w
[_w i n dʒ i ]_w
[_w o s i b ]_w
[_w p a n i ]_w
[_w z ɔ a t ]_w
[_w ɡ a b a ]_w
[_w m a s d ]_w
[_w dʒ ɛ ɡ ]_w
[_w ɔ i t ]_w
[_w o ɾ a p ]_w
[_w p a dʒ ɔ ]_w
[_w ʃ u ɡ i ]_w
[_w a z l ]_w
[_w ɡ a tʃ a ]_w
[_w t o s d ]_w
[_w t o b ]_w
[_w ɡ u n ]_w
[_w q a z t ]_w
[_w ɡ ɛ tʃ ]_w
[_w z u t i ]_w
[_w z ɔ d ]_w
[_w ɣ a ɾ p ]_w
[_w z ɔ tʃ ]_w
[_w ɾ u z t ]_w
[_w ɡ ɛ dʒ a ]_w
[_w p i d a ]_w
[_w i z k a ]_w
[_w p i s ]_w
[_w p u l ]_w
[_w a n t i ]_w
[_w p a z ]_w
[_w ɛ z k i ]_w
[_w ɡ a z b ]_w
[_w tʃ ɔ b ]_w
[_w ɔ pː ɔ q ]_w
[_w dʒ a l p ]_w
[_w ɡ o s i ]_w
[_w b ɔ ɡ ]_w
[_w tʃ d ɔ ]_w
[_w k a s p ]_w
[_w ɾ ɔ s d ]_w
[_w i l k a ]_w
[_w q a p ɾ ]_w
[_w ɡ ɔ h ]_w
[_w z a d a ]_w
[_w p a n u ]_w
[_w z o s ]_w
[_w d u dʒ ]_w
[_w p ɔ i z ]_w
[_w ɡ u dʒ i ]_w
[_w p ɔ z ]_w
[_w p a s d ]_w
[_w ɡ a p ]_w
[_w p a k ɾ ]_w
[_w d o s d ]_w
[_w p a s ]_w
[_w p i tː a ]_w
[_w p i z ]_w
[_w ɡ o b ]_w
[_w d ɔ ɡ i ]_w
[_w p a n t ]_w
[_w b ɛ d ]_w
[_w m a z t ]_w
[_w u l k a ]_w
[_w d i n dʒ ]_w
[_w ɛ z k u ]_w
[_w dʒ ɛ d ]_w
[_w p ɔ p ]_w
[_w s a b t ]_w
[_w ɡ a p a ]_w
[_w ɡ a z ]_w
[_w p a t i ]_w
[_w p a z d ]_w
[_w p a tʃ ɔ ]_w
[_w ɡ u dʒ ]_w
[_w tʃ a l p ]_w
[_w ɡ a s p ]_w
[_w ɡ o b i ]_w
[_w p ɔ ɡ ]_w
[_w p a z t ]_w
[_w z a b t ]_w
