[_w f e m ]_w
[_w p o k s ]_w
[_w ɡ l a u ]_w
[_w b e l ]_w
[_w k ɾ i ts ]_w
[_w l a ɲ ]_w
[_w a l ɡ o ]_w
[_w a l d a ]_w
[_w t a l t ]_w
[_w f i n z ]_w
[_w ʎ u m ]_w
[_w e s d e ]_w
[_w i ɡ o n ]_w
[_w t o d o ]_w
[_w a l o ɾ ]_w
[_w s e ɾ a ]_w
[_w n e i ʒ ]_w
[_w b a ʎ s ]_w
[_w p i n s ]_w
[_w t a k i ]_w
[_w l o d i ]_w
[_w ɡ a m i ]_w
[_w m e u ]_w
[_w a l e ɡ ]_w
[_w d a ʎ a ]_w
[_w t ɾ e s ]_w
[_w f e ts ]_w
[_w p u e n ]_w
[_w b a u ]_w
[_w k o t ]_w
[_w b ɾ o u ]_w
[_w a ɾ a b ]_w
[_w d e ʎ s ]_w
[_w b u n ts ]_w
[_w p u ɡ i ]_w
[_w p a n ɡ ]_w
[_w m e tʃ e ]_w
[_w u ɾ b a ]_w
[_w t i ɡ i ]_w
[_w f i l m ]_w
[_w ʒ i ʃ ]_w
[_w t e n ts ]_w
[_w b i t a ]_w
[_w a l e k ]_w
[_w f o n t ]_w
[_w s o b a ]_w
[_w a s e ɾ ]_w
[_w b i a ]_w
[_w ɡ l i k ]_w
[_w b e l s ]_w
[_w a i ʃ ɔ ]_w
[_w f e d ]_w
[_w e n o ɾ ]_w
[_w d e n ts ]_w
[_w ʒ e n t ]_w
[_w t o k ]_w
[_w ɡ ɾ a u ]_w
[_w p a ɲ ]_w
[_w o ɾ k ]_w
[_w ɡ ɾ e ɡ ]_w
[_w p o ɡ s ]_w
[_w a m b ]_w
[_w t i p e ]_w
[_w ɡ w a n ]_w
[_w n e t ]_w
[_w b e i a ]_w
[_w n e i ʃ ]_w
[_w k ɾ u b ]_w
[_w r u d a ]_w
[_w ɡ ɾ i d ]_w
[_w b o ɾ d ]_w
[_w l a ɾ a ]_w
[_w a p i d ]_w
[_w z o n ]_w
[_w m a k a ]_w
[_w b a ʎ a ]_w
[_w m a dʒ ]_w
[_w t a k a ]_w
[_w s i p i ]_w
[_w t e b ɔ ]_w
[_w ɡ e d o ]_w
[_w d u s ]_w
[_w n e n a ]_w
[_w f ɾ e t ]_w
[_w t i d ]_w
[_w m a n d ]_w
[_w e k s ]_w
[_w m a n ]_w
[_w a t a ɡ ]_w
[_w ʎ o ɡ s ]_w
[_w ɡ a s ]_w
[_w d e k t ]_w
[_w t u ɾ ]_w
[_w l e t a ]_w
[_w k i m ]_w
[_w u m i l ]_w
[_w s u ɡ ]_w
[_w s a k ]_w
[_w a l k u ]_w
[_w ɡ o ɾ ]_w
[_w m i d a ]_w
[_w e s d a ]_w
[_w p o n s ]_w
[_w p i l a ]_w
[_w k a n d ]_w
[_w ɡ a ɾ d ]_w
[_w d a ɾ o ]_w
[_w p u d a ]_w
[_w ʒ u n ts ]_w
[_w f a l s ]_w
[_w k ɾ i dz ]_w
[_w r i b a ]_w
[_w p u tʃ ]_w
[_w t ɾ a m ]_w
[_w p l a ts ]_w
[_w ɡ l a ɾ ]_w
[_w r a ɡ o ]_w
[_w ʎ o b ]_w
[_w d a l d ]_w
[_w ʒ i i i ]_w
[_w p i k ]_w
[_w k e i ʃ ]_w
[_w l a n d ]_w
[_w k i d a ]_w
[_w ɡ o s a ]_w
[_w b e i ʃ ]_w
[_w ɡ a f ɛ ]_w
[_w b a n ɡ ]_w
[_w ɡ a m p ]_w
[_w b a ɾ ɡ ]_w
[_w b o s o ]_w
[_w ɡ e t a ]_w
[_w t i b a ]_w
[_w p u ɡ ]_w
[_w ɡ w a ɲ ]_w
[_w t a ɾ o ]_w
[_w t u s ]_w
[_w k o t a ]_w
[_w k a b ]_w
[_w b e n d ]_w
[_w ʃ i ɡ ]_w
[_w p a b a ]_w
[_w s a b s ]_w
[_w ʃ b i ]_w
[_w b u n t ]_w
[_w ʒ i i ]_w
[_w f a ʎ a ]_w
[_w p e ɾ z ]_w
[_w ɡ ɾ i t ]_w
[_w k i o ]_w
[_w d o d e ]_w
[_w f e r o ]_w
[_w n a s ]_w
[_w f o n d ]_w
[_w t a n d ]_w
[_w p u t a ]_w
[_w m i t e ]_w
[_w t i a s ]_w
[_w d i d ]_w
[_w r o k a ]_w
[_w l o m e ]_w
[_w f e t a ]_w
[_w m o ɾ ts ]_w
[_w ɡ ɾ i m ]_w
[_w b l a u ]_w
[_w u n i dz ]_w
[_w a i ʒ i ]_w
[_w b u i t ]_w
[_w t a n ts ]_w
[_w e ɡ s ]_w
[_w o ɾ k a ]_w
[_w p o dz ]_w
[_w k i n z ]_w
[_w d e n d ]_w
[_w s i t a ]_w
[_w b e n i ]_w
[_w f a n ɡ ]_w
[_w p a k o ]_w
[_w b o i ]_w
[_w b l a ]_w
[_w t e n k ]_w
[_w l a ɾ d ]_w
[_w z o b a ]_w
[_w k ɾ o s ]_w
[_w d i n z ]_w
[_w k ɾ o ɡ ]_w
[_w d a t a ]_w
[_w n e t a ]_w
[_w ʒ o s e ]_w
[_w t o n ]_w
[_w s i n ]_w
[_w p i ɲ a ]_w
[_w a p a ʎ ]_w
[_w p a s o ]_w
[_w b a dʒ ]_w
[_w m o u ]_w
[_w r i k s ]_w
[_w ʃ o s e ]_w
[_w o t e l ]_w
[_w b a ɲ ]_w
[_w l a n ]_w
[_w k o tʃ ]_w
[_w b i b ]_w
[_w p a ɾ ɡ ]_w
[_w d a n d ]_w
[_w p e ʎ s ]_w
[_w b u ɾ ]_w
[_w m o ts ]_w
[_w a t e n ]_w
[_w a p ɾ a ]_w
[_w kː o o ]_w
[_w t i e s ]_w
[_w k o b a ]_w
[_w f i ʎ s ]_w
[_w t e b e ]_w
[_w e ɡ i b ]_w
[_w f l i ʃ ]_w
[_w d o k ]_w
[_w d a d a ]_w
[_w e n d e ]_w
[_w d e l e ]_w
[_w s i ɡ i ]_w
[_w i ʎ e s ]_w
[_w ʒ i k ]_w
[_w r o ɡ a ]_w
[_w b o k a ]_w
[_w n a n ]_w
[_w t o d a ]_w
[_w r i ɡ s ]_w
[_w b o dz ]_w
[_w ɡ o ɾ s ]_w
[_w a t u ɾ ]_w
[_w d e n k ]_w
[_w b o ɾ e ]_w
[_w b u ʎ ]_w
[_w b u tʃ ]_w
[_w s i t o ]_w
[_w d e p ɔ ]_w
[_w a s ɔ ]_w
[_w m i d e ]_w
[_w t a r a ]_w
[_w s u k ]_w
[_w b a r a ]_w
[_w t i d a ]_w
[_w s o ɡ ]_w
[_w ɡ a l a ]_w
[_w ɡ i n ]_w
[_w o n o ɾ ]_w
[_w m o ɾ d ]_w
[_w ɡ o m ]_w
[_w l e m a ]_w
[_w ʒ i ʒ ]_w
[_w ɡ u a ]_w
[_w p e i ]_w
[_w b e ɾ ɔ ]_w
[_w p l a ]_w
[_w t a ɡ a ]_w
[_w e ɡ o n ]_w
[_w ʃ i k ]_w
[_w ɡ a ɾ n ]_w
[_w p i e n ]_w
[_w n o m s ]_w
[_w l o u ]_w
[_w u a p ]_w
[_w p a r a ]_w
[_w d o ɡ a ]_w
[_w k u ɾ t ]_w
[_w p e tʃ ]_w
[_w k a b s ]_w
[_w ɡ a d a ]_w
[_w b e ɾ b ]_w
[_w t e ɾ ]_w
[_w d a n ts ]_w
[_w p i d ]_w
[_w e i ʒ e ]_w
[_w d u n s ]_w
[_w ʎ a ɾ ]_w
[_w m o d a ]_w
[_w a p i a ]_w
[_w m o l d ]_w
[_w d o l i ]_w
[_w d e p e ]_w
[_w u n i ts ]_w
[_w ɡ e t o ]_w
[_w p ɾ a d ]_w
[_w e d i d ]_w
[_w ɡ a b ]_w
[_w p o n ]_w
[_w t a ɡ i ]_w
[_w d i ts ]_w
[_w f a s ]_w
[_w d i ɾ o ]_w
[_w t a l d ]_w
[_w t o ts ]_w
[_w d e p a ]_w
[_w s a ɡ ]_w
[_w d e n ɡ ]_w
[_w a d e n ]_w
[_w p u ɾ a ]_w
[_w k w e z ]_w
[_w b a p a ]_w
[_w ʃ o n ]_w
[_w b e i ʒ ]_w
[_w b i u ]_w
[_w o p ɾ e ]_w
[_w o ɾ a ]_w
[_w m u ɾ s ]_w
[_w t e z ]_w
[_w ʒ p ɡ ]_w
[_w d e i a ]_w
[_w f u n d ]_w
[_w ʃ a b o ]_w
[_w l a l d ]_w
[_w f e p ]_w
[_w d i ʒ i ]_w
[_w m e p a ]_w
[_w ɡ ɾ e u ]_w
[_w b s o e ]_w
[_w a p i ]_w
[_w ʒ u n d ]_w
[_w e ɾ e s ]_w
[_w a p o ɾ ]_w
[_w p e n a ]_w
[_w m e n a ]_w
[_w n o u s ]_w
[_w d i b a ]_w
[_w p o k t ]_w
[_w k e t i ]_w
[_w ʃ e n t ]_w
[_w ɡ u p ]_w
[_w t e i a ]_w
[_w ɡ ɾ o s ]_w
[_w z e ɡ ɾ ]_w
[_w s e s ]_w
[_w t a l ]_w
[_w p o d ]_w
[_w ɡ o ʎ ]_w
[_w i n u d ]_w
[_w b e t o ]_w
[_w p u dʒ ]_w
[_w l a i a ]_w
[_w p o n a ]_w
[_w f a tʃ ]_w
[_w b o s k ]_w
[_w m a tʃ ]_w
[_w e i ʒ a ]_w
[_w k o p ]_w
[_w r e b ]_w
[_w ɡ a n d ]_w
[_w a p u i ]_w
[_w t e ʎ s ]_w
[_w b u n d ]_w
[_w t a s i ]_w
[_w ɡ e d i ]_w
[_w t o ɾː o ]_w
[_w a l k o ]_w
[_w f a n k ]_w
[_w n o t a ]_w
[_w ʃ i ʃ ]_w
[_w t a n i ]_w
[_w d o ɾ ]_w
[_w t o l ]_w
[_w p u k a ]_w
[_w a k t ]_w
[_w k o d ]_w
[_w s i d a ]_w
[_w e n d a ]_w
[_w ɡ s t a ]_w
[_w b e tʃ ]_w
[_w a n d e ]_w
[_w p o k o ]_w
[_w d i d a ]_w
[_w b a t e ]_w
[_w i ɡ n a ]_w
[_w z a l s ]_w
[_w l o ɾ a ]_w
[_w t a i ɾ ]_w
[_w t a ɲ s ]_w
[_w s a n k ]_w
[_w o ɾ ɡ a ]_w
[_w s i ɡ d ]_w
[_w d a ʎ ɔ ]_w
[_w a ɡ i ]_w
[_w k o dʒ ]_w
[_w d i o ]_w
[_w ɡ u ɾ t ]_w
[_w s a l s ]_w
[_w ʎ a d i ]_w
[_w ɡ a ɾ a ]_w
[_w e p ɾ e ]_w
[_w ʎ e d ]_w
[_w t u e s ]_w
[_w t e u a ]_w
[_w z e l ]_w
[_w p u n t ]_w
[_w d ɾ a d ]_w
[_w ɡ o l ]_w
[_w ɡ ɾ i ts ]_w
[_w t e ʎ a ]_w
[_w ʃ a p i ]_w
[_w k a p s ]_w
[_w s e u a ]_w
[_w ɡ e d a ]_w
[_w t e k t ]_w
[_w m o t e ]_w
[_w n e m ]_w
[_w b s k ]_w
[_w d i ɡ ]_w
[_w k o d a ]_w
[_w a i ɾ e ]_w
[_w f u ʎ ]_w
[_w t e n ɡ ]_w
[_w b a n ]_w
[_w t e p a ]_w
[_w f u m ]_w
[_w ɡ a o s ]_w
[_w b i ɲ a ]_w
[_w s i k a ]_w
[_w t ɾ a n ]_w
[_w b o ɡ ]_w
[_w p u ɡ a ]_w
[_w o p d e ]_w
[_w b u ɡ ]_w
[_w p o ɡ d ]_w
[_w t e ɾ k ]_w
[_w t a l a ]_w
[_w m i l ]_w
[_w n o m ]_w
[_w e k o ]_w
[_w k o s d ]_w
[_w d e ɾ ɡ ]_w
[_w l a p a ]_w
[_w k o dʒ e ]_w
[_w z i d a ]_w
[_w ʒ a p o ]_w
[_w r e u s ]_w
[_w p o u ]_w
[_w n e d a ]_w
[_w ʒ a p i ]_w
[_w ɡ e t i ]_w
[_w p u ɾ ]_w
[_w b l o u ]_w
[_w s u d ]_w
[_w f e d a ]_w
[_w t e s tʃ ]_w
[_w b o ɾ k ]_w
[_w r i p a ]_w
[_w b o ɡ t ]_w
[_w ɡ a u ]_w
[_w t e ɾ ɡ ]_w
[_w t o dz e ]_w
[_w z i u ]_w
[_w d o dz ]_w
[_w ʃ o a n ]_w
[_w z e ɾ a ]_w
[_w ɡ a n ]_w
[_w ʃ e mː a ]_w
[_w d e ʎ ]_w
[_w ɡ o ɾ t ]_w
[_w d o dz e ]_w
[_w ʃ b k ]_w
[_w ʎ e t ]_w
[_w b a ɾ d ]_w
[_w e d a t ]_w
[_w s i ɡ t ]_w
[_w b e dʒ ]_w
[_w ʎ a ɡ ]_w
[_w ɡ s t ]_w
[_w m o dz ]_w
[_w t o t ]_w
[_w b i p a ]_w
[_w ʒ o ɡ s ]_w
[_w e ɡ i p ]_w
[_w b i i ]_w
[_w z o ɾ t ]_w
[_w m i k a ]_w
[_w b u k a ]_w
[_w e n d o ]_w
[_w p a ʒ a ]_w
[_w ʎ e i s ]_w
[_w b a ɾ ]_w
[_w ɡ a t ]_w
[_w d o ɡ ]_w
[_w p e l s ]_w
[_w b u e n ]_w
[_w d i ɡ i ]_w
[_w ɡ ɾ u b ]_w
[_w k o p s ]_w
[_w ʃ i i ]_w
[_w z a l t ]_w
[_w b o ɡ s ]_w
[_w d a s i ]_w
[_w t i dz ]_w
[_w ʃ a sː ]_w
[_w p ɾ a t ]_w
[_w t a p a ]_w
[_w l o t i ]_w
[_w ɡ l u p ]_w
[_w r o dʒ ]_w
[_w p u k ]_w
[_w b o k o ]_w
[_w t e p ɔ ]_w
[_w p u i d ]_w
[_w t e ɡ t ]_w
[_w b i s ]_w
[_w b l a d ]_w
[_w f l i ʒ ]_w
[_w b a k o ]_w
[_w d a ɡ i ]_w
[_w f o ɡ ]_w
[_w ɡ i o ]_w
[_w b o s ]_w
[_w ɡ o k a ]_w
[_w ʃ o p e ]_w
[_w ɡ a n a ]_w
[_w b l e ]_w
[_w k o ɾ d ]_w
[_w ʎ i ɡ a ]_w
[_w f e z ]_w
[_w p a ɡ o ]_w
[_w b l a ts ]_w
[_w k u ɾ z ]_w
[_w p o ɾ ɡ ]_w
[_w ɡ ɾ o k ]_w
[_w r e p ]_w
[_w b e i ]_w
[_w t i ʒ i ]_w
[_w d u n z ]_w
[_w ɡ u l ]_w
[_w d u n ]_w
[_w a i ʒ o ]_w
[_w ɡ a p a ]_w
[_w e m p o ]_w
[_w ɡ i m ]_w
[_w d i ɾ a ]_w
[_w ɡ i d a ]_w
[_w ʃ a p o ]_w
[_w b ɾ a t ]_w
[_w b a tʃ ]_w
[_w ʒ u dʒ e ]_w
[_w b i t ]_w
[_w p i ɡ ]_w
[_w k o l ]_w
[_w d a i ɾ ]_w
[_w ʒ o ɡ ]_w
[_w a ɡ t ]_w
[_w t i p a ]_w
[_w r a tʃ ]_w
[_w d o t ]_w
[_w t ɾ e z ]_w
[_w p ɾ e z ]_w
[_w ɡ ɾ u p ]_w
[_w b ɾ a d ]_w
[_w b o s ts ]_w
[_w b l a t ]_w
[_w k o b s ]_w
[_w p o s ts ]_w
[_w ɡ u ɾ a ]_w
[_w d o ts e ]_w
[_w z e ɾ o ]_w
[_w b e ɾ p ]_w
[_w t a t a ]_w
[_w t i ts ]_w
[_w b u t a ]_w
[_w t o t e ]_w
[_w b u ɡ a ]_w
[_w z i k t ]_w
[_w ɡ o p s ]_w
[_w a p e n ]_w
[_w d o d ]_w
[_w m a d i ]_w
[_w b u dʒ ]_w
[_w r e z ]_w
[_w ɡ o n z ]_w
[_w a d ɛ s ]_w
[_w b u d a ]_w
[_w b o k t ]_w
[_w t e n d ]_w
[_w i k n a ]_w
[_w z a l a ]_w
[_w z e n s ]_w
[_w ɡ o p a ]_w
[_w b k n ]_w
[_w e s d i ]_w
[_w b i k ]_w
[_w b a d a ]_w
[_w z a b a ]_w
[_w ɡ w e ʎ ]_w
[_w ʃ o k ]_w
[_w ʃ e n d ]_w
[_w d a ɲ s ]_w
[_w ʃ i i i ]_w
[_w a ɡ e z ]_w
[_w ɡ u b ]_w
[_w p e dʒ ]_w
[_w z i k i ]_w
[_w p a s d ]_w
[_w d i p a ]_w
[_w s e n z ]_w
[_w z i b i ]_w
[_w d a ɡ s ]_w
[_w t i ɾ a ]_w
[_w a ɡ d ]_w
[_w d e ɡ t ]_w
[_w b a s ɡ ]_w
[_w p i p ]_w
[_w z e n t ]_w
[_w b o ɡ o ]_w
[_w r o p a ]_w
[_w ɡ o b s ]_w
[_w ʃ a b i ]_w
[_w ʒ a zː ]_w
[_w z a n t ]_w
[_w m a n z ]_w
[_w b o n d ]_w
[_w ɡ a ɾ ]_w
[_w z e n d ]_w
[_w a l e z ]_w
[_w p o ɡ o ]_w
[_w m u ɾ z ]_w
[_w p d f ]_w
[_w ɡ o dʒ ]_w
[_w b i n s ]_w
[_w p o ɡ ]_w
[_w ɡ e i ʃ ]_w
[_w t e ɡ d ]_w
[_w t u n z ]_w
[_w z a n ]_w
[_w z a ɾ a ]_w
[_w z o n a ]_w
[_w ɡ o t a ]_w
[_w t i ɡ ]_w
[_w ɡ o p ]_w
[_w ʃ e l ]_w
[_w s o n z ]_w
[_w ɡ e i ʒ ]_w
[_w o p t e ]_w
[_w z e u ]_w
[_w k e i ʒ ]_w
[_w z o l o ]_w
[_w b a s d ]_w
[_w ʃ o ɡ ]_w
[_w b a d e ]_w
[_w r i ɡ ]_w
[_w z e ɾ ]_w
[_w b e ɾ z ]_w
[_w z o m ]_w
[_w t ɾ a d ]_w
[_w b i s d ]_w
[_w ɡ i t a ]_w
[_w ɡ l i ɡ ]_w
[_w ɡ i n z ]_w
[_w w e ɾ d ]_w
[_w d e n z ]_w
[_w z o n s ]_w
[_w a s d a ]_w
[_w b ɾ e z ]_w
[_w ɡ a p s ]_w
[_w a k e z ]_w
[_w f o s ɡ ]_w
[_w ʃ i n a ]_w
[_w d e ɡ d ]_w
[_w z e k a ]_w
[_w ɡ o t ]_w
[_w z a ʒ i ]_w
[_w z o u s ]_w
[_w t o dz ]_w
[_w p i s d ]_w
[_w ɡ o b ]_w
[_w p o ɡ t ]_w
[_w ɡ w e s ]_w
[_w f o ɾ z ]_w
[_w ʃ i ʒ ]_w
[_w z o r a ]_w
[_w z o u ]_w
[_w f o n z ]_w
[_w ɡ a s i ]_w
[_w t o ɡ ]_w
[_w z i k a ]_w
[_w b o n z ]_w
[_w o ɾ e z ]_w
[_w n e n z ]_w
[_w ɡ o ɾ d ]_w
[_w z i s ]_w
[_w t i n z ]_w
[_w z e ɾ e ]_w
[_w m a ɾ z ]_w
[_w e n z ]_w
[_w ɡ o d ]_w
[_w p o n z ]_w
[_w ʃ e n s ]_w
[_w p o s ɡ ]_w
[_w ʃ o ɡ s ]_w
[_w ʒ e s d ]_w
[_w ɡ a p ]_w
[_w p i p a ]_w
[_w z i n o ]_w
[_w z a n d ]_w
[_w z o f a ]_w
[_w p a tʃ ]_w
[_w d u e z ]_w
[_w b o ɡ d ]_w
[_w z a n k ]_w
[_w z e ɾ ts ]_w
[_w z o k ]_w
[_w t i e z ]_w
[_w p a s ɡ ]_w
[_w u n z ]_w
[_w u ɾ p a ]_w
[_w ɡ o ɡ a ]_w
[_w z a l o ]_w
[_w z e ɾ t ]_w
[_w p o s d ]_w
[_w a l p a ]_w
[_w t e p e ]_w
[_w z i n ɡ ]_w
[_w e s ɡ a ]_w
[_w e n z e ]_w
[_w z e k ]_w
[_w p i n z ]_w
[_w ʃ a zː ]_w
[_w d i s ɡ ]_w
[_w z e r a ]_w
[_w ʒ e n z ]_w
[_w ɡ o tʃ ]_w
[_w d i e z ]_w
[_w z e d ]_w
[_w z i d o ]_w
[_w z a k ]_w
[_w z e m ]_w
[_w f e s d ]_w
[_w u n e z ]_w
[_w z i t o ]_w
[_w ɡ u ɾ d ]_w
[_w z i n ]_w
[_w b i p ]_w
[_w b o s ɡ ]_w
[_w p e ɾ p ]_w
[_w z a ɡ ]_w
[_w b s ɡ ]_w
[_w ɡ u ɾ z ]_w
[_w z a n ts ]_w
[_w z e ɲ a ]_w
[_w z o l ]_w
[_w ɡ ɾ o ɡ ]_w
[_w b i n z ]_w
[_w l e z ]_w
[_w z e ɡ a ]_w
[_w z e n ]_w
[_w m e ɾ z ]_w
[_w t i s ɡ ]_w
[_w z o ɾ d ]_w
[_w k s d a ]_w
[_w z e b a ]_w
[_w b o s d ]_w
[_w f ɾ e z ]_w
[_w r i s ɡ ]_w
[_w d e ɾ z ]_w
[_w z e ɡ ]_w
[_w z o p a ]_w
[_w z i n e ]_w
[_w z a l ]_w
[_w z e ɾ d ]_w
[_w k s d ]_w
[_w i e z ]_w
[_w z i t a ]_w
[_w ʃ e n z ]_w
[_w z e t ]_w
[_w ɡ s d a ]_w
[_w z o t a ]_w
[_w z o l s ]_w
[_w e z e ]_w
[_w z i n k ]_w
[_w i ʎ e z ]_w
[_w z a p a ]_w
[_w ʒ u s d ]_w
[_w z i ɡ i ]_w
[_w e z o ]_w
[_w z e ɲ ]_w
[_w ɡ o ɾ z ]_w
[_w t e ɾ z ]_w
[_w p s ɡ ]_w
[_w t e n z ]_w
[_w b e z ]_w
[_w z e u s ]_w
[_w z e n z ]_w
[_w ʃ e s d ]_w
[_w p i e z ]_w
[_w z e l s ]_w
[_w e s d ]_w
[_w t u e z ]_w
[_w p e z a ]_w
[_w z i p i ]_w
[_w z a b s ]_w
[_w d e z o ]_w
[_w k o ɾ z ]_w
[_w z a b ]_w
[_w b e z a ]_w
[_w z a p ]_w
[_w ɡ o s d ]_w
[_w e ʎ e z ]_w
[_w z e s ]_w
[_w e z a ]_w
[_w z i m ]_w
[_w o m e z ]_w
[_w d e z ]_w
[_w n e z ]_w
[_w z o ɡ ]_w
[_w e ɾ e z ]_w
[_w m e z a ]_w
[_w p e z ]_w
[_w o n e z ]_w
[_w z i ɡ a ]_w
[_w z e p a ]_w
[_w z e u a ]_w
[_w z a p s ]_w
[_w l i e z ]_w
[_w z a l d ]_w
[_w z i ɡ t ]_w
[_w b i e z ]_w
[_w s e z ]_w
[_w t e z o ]_w
[_w z i ɡ d ]_w
[_w ɡ s d ]_w
[_w z o n z ]_w
[_w ɡ w e z ]_w
[_w z e z ]_w
