[_w m p ɘ ]_w
[_w ɛ l ʊ w ]_w
[_w ɛ p ɪ n ]_w
[_w ɘ m b ɪ ]_w
[_w ɛ b ɔ t ]_w
[_w b ɘ mː ɪ ]_w
[_w ɘ k ʊ r ]_w
[_w l ʊː t ]_w
[_w n ɔ n ]_w
[_w ɟ ɘ ɟ ]_w
[_w ɛ s ɘ ʊ ]_w
[_w b ɔː k ɪ ]_w
[_w ɛ ɟ ɘː m ]_w
[_w ɛ b ɔː l ]_w
[_w ɛ l ɪ s ]_w
[_w ɛ p ɪ l ]_w
[_w ɟ a n k ]_w
[_w e ɡ o d ]_w
[_w e l u t ]_w
[_w b ɔː b ʊ ]_w
[_w ɲ ɘ c ]_w
[_w ʊ ɡ ɘː n ]_w
[_w ɘ m ɛ n ]_w
[_w p ɘː t ɛ ]_w
[_w e p aː r ]_w
[_w ɘː t ɛ ]_w
[_w e s u ɡ ]_w
[_w m u k a ]_w
[_w ʊ p ɘ c ]_w
[_w l ʊː k ]_w
[_w t ɛ m ]_w
[_w t ɔː k ɛ ]_w
[_w p ʊ f ɔ ]_w
[_w ɘ c ɔː n ]_w
[_w ɛ l ɛː ]_w
[_w ɘ k ɔ j ]_w
[_w b ɘ ɟ ɛ ]_w
[_w w a c ]_w
[_w i p u r ]_w
[_w ʊ c ɪ n ]_w
[_w ʊ ɟ ɘː b ]_w
[_w ɘ s ɔ ]_w
[_w j ɘ p ɘ ]_w
[_w c ɔː ɟ ʊ ]_w
[_w ɛ ɡ ɘ t ]_w
[_w ɛ k ɘ t ]_w
[_w ɘ p ɔ ɲ ]_w
[_w j ɛ s ɛ ]_w
[_w ɛ t ɛː p ]_w
[_w w ɘ ɟ ]_w
[_w j o r o ]_w
[_w n ɛː n ɛ ]_w
[_w ɟ ɛ ɡ ]_w
[_w ʊ b ʊ c ]_w
[_w f ɘ n k ]_w
[_w ʊ b ɪ l ]_w
[_w p ʊ k ɛ ]_w
[_w ɪ ɡ ɘ t ]_w
[_w ɟ ɪ l ɔ ]_w
[_w p ɘː b ɛ ]_w
[_w d ɘ p ]_w
[_w ɲ ɔː n ɪ ]_w
[_w ɪ ɡ ɘː n ]_w
[_w r i mː i ]_w
[_w p u m p ]_w
[_w k eː l e ]_w
[_w ɛ c ɘ m ]_w
[_w ɪ n ɟ e ]_w
[_w j ɘː j ʊ ]_w
[_w c ɪ r ɪ ]_w
[_w ʊ k ɔ j ]_w
[_w ʊ p ɘ ŋ ]_w
[_w b ɘː p ʊ ]_w
[_w ɘ b ɘ n ]_w
[_w ʊ c ɛː n ]_w
[_w ɡ ʊ n ɡ ]_w
[_w m oː m i ]_w
[_w p ʊ c ɪ ]_w
[_w p ɪ ɲ ɔː ]_w
[_w d o r o ]_w
[_w ɟ ʊː m ]_w
[_w d i d i ]_w
[_w ɪ p ɪ l ]_w
[_w p ɘ ʊ l ]_w
[_w b r ɛ n ]_w
[_w p ɪ j ɔ ]_w
[_w ɘ p ɘ ɟ ]_w
[_w ɘ p ɘ n ]_w
[_w n aː d i ]_w
[_w ɘ ɡ ɘ t ]_w
[_w ʊ p ɘ ɟ ]_w
[_w ʊ n ɘ p ]_w
[_w l oː k ]_w
[_w u k uː d ]_w
[_w n ɘ m ]_w
[_w j ɘ b ɘ ]_w
[_w k u m i ]_w
[_w ɟ ɘ k ]_w
[_w t eː r e ]_w
[_w s ɔː m ]_w
[_w ɘ c ɪː k ]_w
[_w b ʊ k ɔ ]_w
[_w e ɡ uː d ]_w
[_w ɘ c ɪ k ]_w
[_w ɛ c ɘː m ]_w
[_w ɟ ɔ mː ɪ ]_w
[_w ɪ n k ɪ ]_w
[_w r ɘː b ɪ ]_w
[_w m b ɘ ]_w
[_w ɡ ɔː t ɛ ]_w
[_w j ɛ ɪ ]_w
[_w ɟ ɛ k ]_w
[_w ɘ c ɘ m ]_w
[_w p ɪː j ɘ ]_w
[_w ɘ ɟ ɘː m ]_w
[_w ʊ p ɪ l ]_w
[_w k ɘ l ]_w
[_w s ɪ d ɘ ]_w
[_w ɛ j ɘ p ]_w
[_w ɪ s ɔ f ]_w
[_w e k uː t ]_w
[_w k ɪː j ɘ ]_w
[_w ʊ l ɛː ]_w
[_w p ʊ ɡ ʊ ]_w
[_w ɡ ʊ n k ]_w
[_w ɘ p ɘː t ]_w
[_w m ɘː m ʊ ]_w
[_w ɘ p ɔː j ]_w
[_w ɘ n t ɪ ]_w
[_w ɪ j ɘ p ]_w
[_w ɛ l ɘ ɡ ]_w
[_w ɘ ɟ ɘ ɡ ]_w
[_w f ɘː f ʊ ]_w
[_w ɟ ɘ c ]_w
[_w k i r i ]_w
[_w ɛ p ɘ n ]_w
[_w w u b ]_w
[_w p ʊ ɡ ɛ ]_w
[_w p ɛː t ]_w
[_w u t i p ]_w
[_w ɛ c ɪ n ]_w
[_w ɡ ɘ m ɘ ]_w
[_w n ʊ h ɘ ]_w
[_w w a ɟ ]_w
[_w p ʊ c ɘ ]_w
[_w p u l a ]_w
[_w ɛ ɡ ɔ p ]_w
[_w p ɘ ɟ ɛ ]_w
[_w ʊ p ɘ k ]_w
[_w ɟ ɛ m ɛ ]_w
[_w k ɔː n ɛ ]_w
[_w ɛ ɲ ɘ p ]_w
[_w ɡ ɔ mː ɪ ]_w
[_w p ɘ t ɪ ]_w
[_w ʊ f ɛ ]_w
[_w ɘ c ɘː m ]_w
[_w m ʊː s ɘ ]_w
[_w f ɘ n ɡ ]_w
[_w ɛ c ɘ k ]_w
[_w ɘ j ɪ t ]_w
[_w ɘ c ɛ t ]_w
[_w ɟ ɛ p ]_w
[_w c ɪ l ɛː ]_w
[_w c ɔː l ɪ ]_w
[_w p ɛ f ]_w
[_w ɛ r ɛ ]_w
[_w l ɘ ɡ ɔ ]_w
[_w ʊ c ɛ ɛ ]_w
[_w d ʊ l ]_w
[_w ɛ ɟ ɘː j ]_w
[_w ɘ r ɔ ɡ ]_w
[_w ʊ s ʊ ]_w
[_w ɛ b ɘ c ]_w
[_w ɛ p ɔ ɲ ]_w
[_w m ɪː j ɘ ]_w
[_w p ʊ ɟ ɪ ]_w
[_w ɛ p ɘ k ]_w
[_w s ɔː n ɪ ]_w
[_w d ɔː k ɛ ]_w
[_w ɪ j ɔː ]_w
[_w t ɛ j ]_w
[_w ɛ d ɔː ŋ ]_w
[_w b ɔː p ʊ ]_w
[_w u b aː r ]_w
[_w c ɘ k ]_w
[_w d u ɟ ]_w
[_w l ɛ ɟ ]_w
[_w l ɛ c ]_w
[_w t i t i ]_w
[_w p a m ]_w
[_w ʊ ɡ ɘː l ]_w
[_w b a l a ]_w
[_w k o t i ]_w
[_w ɘ ɟ ʊ ɡ ]_w
[_w ʊ ɡ ɛ ]_w
[_w b ʊ c ɪ ]_w
[_w k ɔ p ]_w
[_w b ʊ l ɛː ]_w
[_w t ɔ t ʊ ]_w
[_w d ʊ r ɔ ]_w
[_w ɡ ɘ p ɘ ]_w
[_w l oː ɡ ]_w
[_w ɘ k ɘ d ]_w
[_w ɡ ɔː k ɛ ]_w
[_w ɘ d ɪ ]_w
[_w p ɔː b ʊ ]_w
[_w ʊ ɡ ɘ n ]_w
[_w d ɛ p ]_w
[_w ɘ m ɔ s ]_w
[_w ʊ l ɘ w ]_w
[_w p ɘ n ɔ ]_w
[_w ɡ ʊ l ɪ ]_w
[_w d oː r o ]_w
[_w ʊ ɡ ɔ r ]_w
[_w d ɘ b ]_w
[_w p ɔː l ɘ ]_w
[_w k o d i ]_w
[_w ʊ l ɘ ɡ ]_w
[_w ʊ p ɛ ]_w
[_w k ɔː ɡ ʊ ]_w
[_w t ɘ ɡ ]_w
[_w b ɘ c ]_w
[_w b ɘː t ɛ ]_w
[_w k ɔː ɡ ɛ ]_w
[_w ɛ ɟ ɛ d ]_w
[_w p ɔ mː ɪ ]_w
[_w p ɘ r ɛ ]_w
[_w ɘ j ɪ d ]_w
[_w c ɪ l ɔ ]_w
[_w ɟ u t ]_w
[_w ɛ ɟ ɘ k ]_w
[_w p ɘ mː ɪ ]_w
[_w t ɘː d ɛ ]_w
[_w o l i ]_w
[_w b ɘː p ɛ ]_w
[_w ɛ t ɛː b ]_w
[_w ɛ p e ]_w
[_w k ɪ d ɪ ]_w
[_w ɡ ʊ l ɛː ]_w
[_w c ɘː t ]_w
[_w ɡ ɘ n ɛ ]_w
[_w f ɘ d ɪ ]_w
[_w r iː ŋ ]_w
[_w ɘ r ɪ ]_w
[_w ʊ c ɘ m ]_w
[_w c u t ]_w
[_w c ɪː k ]_w
[_w p i p ]_w
[_w ɛ p ɔː l ]_w
[_w c i l i ]_w
[_w ʊ ɟ ɘː p ]_w
[_w t u c ]_w
[_w ɘː t ʊ d ]_w
[_w t ɘ ɟ ]_w
[_w s ɘ d ɪ ]_w
[_w p ɔː k ɪ ]_w
[_w p ɘ k ɛ ]_w
[_w c ɔː l ɘ ]_w
[_w ɪ c ɘ w ]_w
[_w ɘ ɡ ɘː l ]_w
[_w k u ɡ uː ]_w
[_w p u m b ]_w
[_w c ɘ t ɪ ]_w
[_w ɘ ɡ ɘ m ]_w
[_w j ɘː j ɘ ]_w
[_w d ɘ t ɪ ]_w
[_w ɛ n ʊ ɡ ]_w
[_w b ʊ ɟ ɘ ]_w
[_w p ʊ l ɔ ]_w
[_w ɛ b ɔ d ]_w
[_w t ʊ r ɔ ]_w
[_w p i b ]_w
[_w d ɛ j ]_w
[_w ʊ p ʊ ]_w
[_w ɘ p ɪ ɘ ]_w
[_w s ɘ n ɡ ]_w
[_w t ɔ d ʊ ]_w
[_w p u r ]_w
[_w b i p ]_w
[_w m ɘ ɡ ɘ ]_w
[_w t ʊ l ]_w
[_w ɘ p ʊ c ]_w
[_w k ɘ d ɘ ]_w
[_w ɘ k ɔ p ]_w
[_w w ɔː l ɘ ]_w
[_w ɡ ɔ m ɪ ]_w
[_w p ɔː m ]_w
[_w ʊ t ɛ k ]_w
[_w ʊ c ɘː b ]_w
[_w ɘ p ʊ ɟ ]_w
[_w ʊ j ɘ p ]_w
[_w d i e n ]_w
[_w ɛ ɡ ɘː l ]_w
[_w ɡ ɘ mː ɪ ]_w
[_w ʊ ɡ ɘ ɟ ]_w
[_w p ɘ ɡ ]_w
[_w ɪ p ɘ n ]_w
[_w ɘ b ɘ ɡ ]_w
[_w ɘ b ɛ l ]_w
[_w ɟ a n ɡ ]_w
[_w r ɪ c ɛː ]_w
[_w p ɘ ɡ ɛ ]_w
[_w t ɘ c ]_w
[_w n ɘː ɡ ɛ ]_w
[_w ʊ k ɘ p ]_w
[_w b ʊ ɡ ɛ ]_w
[_w e l u d ]_w
[_w c ɛ m ɛ ]_w
[_w b ɛ r ɪ ]_w
[_w c ɘ w ]_w
[_w ʊ c ɛː ŋ ]_w
[_w p ɔː p ]_w
[_w b ʊ ɡ ʊ ]_w
[_w p ɘ t ]_w
[_w d eː r e ]_w
[_w m u ɡ a ]_w
[_w ɘ ɟ ɪ ɡ ]_w
[_w ɛ d ɛ j ]_w
[_w d ɘː c ]_w
[_w s aː u d ]_w
[_w d ɘː ɟ ]_w
[_w ɛ l ʊ p ]_w
[_w m ɘː p ɪ ]_w
[_w k ʊ d ɪ ]_w
[_w c ɛ b ]_w
[_w d ɔ d ʊ ]_w
[_w a ɡ uː ]_w
[_w p ɪ n ]_w
[_w f ɘː d ɛ ]_w
[_w d a m i ]_w
[_w ɛ t ɛ p ]_w
[_w ɡ i r i ]_w
[_w ʊ d ɘ n ]_w
[_w ɡ ʊ t ɪ ]_w
[_w ɘ l ɘ ɡ ]_w
[_w p ɘ c ɘ ]_w
[_w ɛ c ɛ d ]_w
[_w ɘ ɡ ʊ r ]_w
[_w t ɘ p ]_w
[_w ɛ p ʊ c ]_w
[_w ɡ ɘ b ɘ ]_w
[_w ɡ ʊ l ɘ ]_w
[_w ɛ l ʊ ɡ ]_w
[_w p ɪ p ɪ ]_w
[_w ɛ ɟ ɘ ɡ ]_w
[_w d ɪ h ɪ ]_w
[_w b ʊ ɡ ɔː ]_w
[_w ʊ c ɛː l ]_w
[_w b ɘ ɡ ɛ ]_w
[_w t ɘː c ]_w
[_w e k uː d ]_w
[_w c ɔː n ɛ ]_w
[_w p ʊ ɡ ɔː ]_w
[_w ɡ ʊ p ɘ ]_w
[_w d ɔ t ʊ ]_w
[_w f ɘ c ]_w
[_w j ɔ p ɘ ]_w
[_w ɘ p ɘ ɡ ]_w
[_w ɡ ɔː l ɪ ]_w
[_w p ɘ c ɛ ]_w
[_w ɔː t ʊ d ]_w
[_w ɡ u l o ]_w
[_w b ʊ c ɘ ]_w
[_w ɟ ɘ ɡ ɛ ]_w
[_w p ɪː ŋ ]_w
[_w ɘ p ʊ m ]_w
[_w ʊ k ɘ c ]_w
[_w ɛ p ɔ t ]_w
[_w c ɘ n ]_w
[_w d u l u ]_w
[_w d a n ]_w
[_w ɛ l ɪ d ]_w
[_w ɟ ɘ ɡ ]_w
[_w d ɔː r ʊ ]_w
[_w w ɘː d ɪ ]_w
[_w ɡ u j i ]_w
[_w c ɘ mː ɪ ]_w
[_w ɘ b ɘː d ]_w
[_w ɘ ɡ ɔ j ]_w
[_w ɪ c ɛ t ]_w
[_w c ɪː k ɪ ]_w
[_w f ʊ ɡ ]_w
[_w ɪ p ɘ k ]_w
[_w ʊ ɡ ʊ ]_w
[_w c ɛ k ]_w
[_w p ʊ l ɛ ]_w
[_w ɪ c ɛ ɛ ]_w
[_w c ɔː n ]_w
[_w ɘ d ɛ n ]_w
[_w p a l a ]_w
[_w ɪ ɟ ɛ d ]_w
[_w d i n ]_w
[_w t i ɟ ]_w
[_w ɛ l ɛ d ]_w
[_w ɡ ɘ n ]_w
[_w d i c ]_w
[_w u d i p ]_w
[_w ɘ ɡ ɔ b ]_w
[_w ʊ ɡ ɘ b ]_w
[_w d u ɡ ]_w
[_w w ɘ d ɪ ]_w
[_w c ɛ b ɪ ]_w
[_w b ɛ d ɛ ]_w
[_w ʊ ɡ ɔ j ]_w
[_w p ɛ r ɪ ]_w
[_w d u c ]_w
[_w ʊ k ɘ d ]_w
[_w ɘ p ɛ l ]_w
[_w p ʊ k ɔ ]_w
[_w p ɛ d ]_w
[_w ɟ ʊː b ]_w
[_w ɛ l ɘ d ]_w
[_w ʊ ɡ ɘ c ]_w
[_w j ɪ d ɔ ]_w
[_w d i ɟ ]_w
[_w b ɘː ɡ ]_w
[_w ʊ l ɛ d ]_w
[_w ʊ ɡ ɘ p ]_w
[_w ʊ d ʊ m ]_w
[_w w u d ]_w
[_w ɡ ɘː m ]_w
[_w p ʊ ɡ ɔ ]_w
[_w ɛ d ɛ p ]_w
[_w c ɛ p ɪ ]_w
[_w p ɛː r ɪ ]_w
[_w l ʊ d ɘ ]_w
[_w ʊ p ʊ ɟ ]_w
[_w b ɔː ɡ ɛ ]_w
[_w f a ɡ ]_w
[_w ʊ b ɘ ɡ ]_w
[_w a p u d ]_w
[_w e p u ɡ ]_w
[_w ɛ p ɘ ɡ ]_w
[_w ɡ ɘ t ɪ ]_w
[_w ɡ ɔː k ʊ ]_w
[_w t ɔː ɡ ɛ ]_w
[_w r ɘ d ]_w
[_w ɘ l ɔː ɡ ]_w
[_w ɡ u k uː ]_w
[_w a b u d ]_w
[_w l ɛ d ]_w
[_w p ɘ l ]_w
[_w ɟ ɘ d ɪ ]_w
[_w ɡ ɔː n ɛ ]_w
[_w c ɛ p ]_w
[_w j ɘ c ]_w
[_w ɛː t ʊ d ]_w
[_w d ɘ ɡ ]_w
[_w ɟ ɛ d ɛ ]_w
[_w c ɘ r ɪ ]_w
[_w b ɛ d ]_w
[_w c ɘ d ɪ ]_w
[_w j ɘ d ɪ ]_w
[_w c ɘ c ]_w
[_w d u k ]_w
[_w ɘ c ɘ ɡ ]_w
[_w ɡ ɔː n ɪ ]_w
[_w ɡ ɔ b ]_w
[_w ɡ ɘː n ɛ ]_w
[_w ɡ a l a ]_w
[_w ɘ l ʊ ɡ ]_w
[_w j ɔː ɡ ɛ ]_w
[_w ɪ b ɘ ɡ ]_w
[_w ɡ ɘ t ɘ ]_w
[_w ɡ ɪ t ɪ ]_w
[_w b ɘ d ɪ ]_w
[_w n ɘ d ɪ ]_w
[_w ɡ ɛ p ]_w
[_w s ɪ ɡ ɘ ]_w
[_w n ɘː d ɛ ]_w
[_w ɡ ɘ ɪ n ]_w
[_w ʊ p ʊ c ]_w
[_w ɟ u d ]_w
[_w ɟ ɔ c ]_w
[_w m ɘ d ɘ ]_w
[_w k ɘː ɡ ʊ ]_w
[_w ɛ r ɪ ɡ ]_w
[_w c ɔː m ]_w
[_w p ɔː ɡ ɪ ]_w
[_w r ɘː p ɪ ]_w
[_w c ɛ ɡ ]_w
[_w ɘː d ɛ ]_w
[_w ɡ ɘː t ɛ ]_w
[_w ɛ p ɔ d ]_w
[_w ɡ ɛ ɪ ]_w
[_w b ɔː ɡ ɪ ]_w
[_w p ɘ c ]_w
[_w ɛ d ɛ b ]_w
[_w ɡ u m a ]_w
[_w ɛ c ɘ ɡ ]_w
[_w ʊ d ɛ k ]_w
[_w b ɘ d ]_w
[_w ɡ u m i ]_w
[_w p ɘː ɡ ]_w
[_w ɡ ʊ c ɛː ]_w
[_w ʊ d ɛ ɡ ]_w
[_w d ɘ c ]_w
[_w r ɛ ʊ d ]_w
[_w ɡ ɔː l ɘ ]_w
[_w ɘ d ɘ ɪ ]_w
[_w ɡ a f a ]_w
[_w ɡ ɘː n ]_w
[_w ɡ ɔ p ]_w
[_w ɘ ɡ ɔ p ]_w
[_w ɡ a w ]_w
[_w ɘ d ɘ ]_w
[_w u ɡ uː d ]_w
[_w p ɘː p ɛ ]_w
[_w ɡ ʊ m ɔ ]_w
[_w p ɛ d ɛ ]_w
[_w p ɘ d ]_w
[_w ɡ ɘ mː ɔ ]_w
[_w d ɔː ɡ ɛ ]_w
[_w ɛ n ɔ ɡ ]_w
[_w ɛː n ʊ d ]_w
[_w k ɘː d ɛ ]_w
[_w c u d ]_w
[_w ɛ r ɔ ɡ ]_w
[_w ɛ k ɔ p ]_w
[_w ɘ ɡ ɘ d ]_w
[_w ɡ ɘ n ɘ ]_w
[_w c ɔː n ɔ ]_w
[_w ʊ ɡ ɘ d ]_w
[_w ɘ r ʊ d ]_w
[_w t ɘ d ɪ ]_w
[_w ɡ o d i ]_w
[_w ɪ l ɘ d ]_w
[_w ɛ m ɘː d ]_w
[_w ɘ c ɛ d ]_w
[_w ɘ d ɛ j ]_w
[_w ɡ o r o ]_w
[_w ɪ p ɘ ɡ ]_w
[_w ɡ u ɡ uː ]_w
[_w ʊ p ɘ ɡ ]_w
[_w p ɔː ɡ ɛ ]_w
[_w p ɘ d ɪ ]_w
[_w ɟ ʊː b ɔ ]_w
[_w b ɘː d ɛ ]_w
[_w ɡ o t i ]_w
[_w c ɛ d ɛ ]_w
[_w ɡ ɪː j ɘ ]_w
[_w ɡ ɪ l ɘ ]_w
[_w ɡ ʊ l ɔ ]_w
[_w w ɘː d ɛ ]_w
[_w ɘː d ʊ t ]_w
[_w ɡ ɘː d ɛ ]_w
[_w ɘː d ʊ m ]_w
[_w u d i b ]_w
[_w p ɘː p ʊ ]_w
[_w ɡ ɔ n ɡ ]_w
[_w ɘ c ɪ ɡ ]_w
[_w ɡ ɪ d ɪ ]_w
[_w ɛ d ɛ n ]_w
[_w ɪ ɡ ɘ d ]_w
[_w ɛ k ɘ d ]_w
[_w ɟ ɘː d ]_w
[_w ɡ ɔ n k ]_w
[_w ɡ ɛ b ]_w
[_w ɘ p ɘː d ]_w
[_w ɡ ɘ l ]_w
[_w d ɘ d ɪ ]_w
[_w ʊ c ɘː p ]_w
[_w c ɘ ɡ ɛ ]_w
[_w c ɘ ɡ ]_w
[_w c n c r ]_w
[_w m ɘː d ɛ ]_w
[_w ɡ ɘ d ɪ ]_w
[_w c ɘː d ]_w
[_w ɡ ɔː ɡ ɛ ]_w
[_w p ɘː d ɛ ]_w
[_w ɡ ɘː ɡ ʊ ]_w
[_w d ɘː d ɛ ]_w
[_w ɡ ɘ d ɘ ]_w
[_w ɡ ɔː ɡ ʊ ]_w
[_w ɘː d ʊ d ]_w
