[_w m iː n ]_w
[_w p iː n ]_w
[_w e jː ew ]_w
[_w d̪ a m a ]_w
[_w a pː o dʒː ]_w
[_w i l n i ]_w
[_w r a s i ]_w
[_w ɡ aw s a ]_w
[_w l f a t̪ː ]_w
[_w d̪ a m ]_w
[_w d̪ a sː ew ]_w
[_w f i t̪ u ]_w
[_w ʔ ɪː t̪ a ]_w
[_w ɡ aː ʃ ]_w
[_w d̪ a d̪ a ]_w
[_w f uː ʔ i ]_w
[_w n i z a ]_w
[_w dʒ o t̪ː a ]_w
[_w d̪ l e t̪ː ]_w
[_w f s a n ]_w
[_w a bː a r ]_w
[_w nː a r ]_w
[_w ħ aj j a ]_w
[_w l m o d̪ ]_w
[_w t̪ː r iː ʔ ]_w
[_w ɡ aː l ]_w
[_w i f a ]_w
[_w aː lː ɪː m ]_w
[_w s a p ]_w
[_w d̪ o nː u ]_w
[_w i lː uː t̪ ]_w
[_w i n d̪ i ]_w
[_w i k e l ]_w
[_w ɡ d̪ ɪː b ]_w
[_w a l e ʃ ]_w
[_w i z aː r ]_w
[_w aː l eː kː ]_w
[_w m e tsː ]_w
[_w m eː d̪ː a ]_w
[_w k l ɪː m ]_w
[_w s ħ iː ħ ]_w
[_w p t̪ aw n ]_w
[_w p a r i ]_w
[_w dʒ o f e ]_w
[_w aː l ɪː ʃ ]_w
[_w b a p a ]_w
[_w a r a ]_w
[_w d̪ː a m a ]_w
[_w a l t̪ a ]_w
[_w f a z i ]_w
[_w ʃ i n iː ]_w
[_w b m o t̪ ]_w
[_w d̪ l ɪː t̪ ]_w
[_w ħ e l u ]_w
[_w n a r ]_w
[_w i b n i ]_w
[_w k a ʃː a ]_w
[_w k r ɪː ɡ ]_w
[_w ʃ ew ʔ a ]_w
[_w ʃ e j n ]_w
[_w p t̪ m ]_w
[_w s uː r a ]_w
[_w l eː r v ]_w
[_w d̪ i b t̪ ]_w
[_w i sː e r ]_w
[_w e v a ]_w
[_w v iː z ]_w
[_w a l d̪ a ]_w
[_w l e j aː ]_w
[_w ʃ i d̪ a ]_w
[_w a l a ]_w
[_w r uː ħ u ]_w
[_w j a r aw ]_w
[_w t̪ l ɪː d̪ ]_w
[_w b aː d̪ ]_w
[_w p i z a ]_w
[_w m i t̪ː ]_w
[_w j ɪː ħ u ]_w
[_w u e v a ]_w
[_w t̪ aː o m ]_w
[_w b ts o nː ]_w
[_w n i tʃ i ]_w
[_w d̪ o bː a ]_w
[_w ħ uː ħ ]_w
[_w d̪ e l a ]_w
[_w ɡ aː n t̪ ]_w
[_w i l aː t̪ː ]_w
[_w aː ts iː n ]_w
[_w t̪ a r ʃ ]_w
[_w k a r l ]_w
[_w t̪ ɪː u ]_w
[_w w eː d̪ a ]_w
[_w k r a t̪ ]_w
[_w v i n a ]_w
[_w l eː r f ]_w
[_w t̪ː a m a ]_w
[_w w uː t̪ ]_w
[_w n aː t̪ aw ]_w
[_w v a t̪ a ]_w
[_w k a b ]_w
[_w i z e m ]_w
[_w j m uː d̪ ]_w
[_w f iː k ]_w
[_w t̪ a m ]_w
[_w o mː i ]_w
[_w j ej d̪ u ]_w
[_w ħ a t̪ u ]_w
[_w zː e n s ]_w
[_w aː t̪ a ]_w
[_w m ɡ ɪː n ]_w
[_w i d̪ u ]_w
[_w r uː ħ ]_w
[_w ʃ o kː ]_w
[_w i l v u ]_w
[_w ħ a t̪ i ]_w
[_w d̪ ħ o sː ]_w
[_w i v ɪː r ]_w
[_w a t̪ a m ]_w
[_w l k o lː ]_w
[_w aː z e l ]_w
[_w dʒ e j ]_w
[_w b i sː ]_w
[_w aː n d̪ aː ]_w
[_w i d̪ː iː m ]_w
[_w k e s u ]_w
[_w dʒ iː d̪ ]_w
[_w l uː t̪ ]_w
[_w u ħ uː t̪ ]_w
[_w m o ħː u ]_w
[_w i t̪ː r a ]_w
[_w m a l ]_w
[_w ħ a d̪ː ]_w
[_w i z e ħː ]_w
[_w ħ dʒ ɪː dʒ ]_w
[_w d̪ aw k ]_w
[_w j m i zː ]_w
[_w t̪ m iː r ]_w
[_w ʔ i m a ]_w
[_w t̪ m uː d̪ ]_w
[_w m o t̪ ]_w
[_w f j a dʒː ]_w
[_w k uː r a ]_w
[_w ħ a sː ]_w
[_w t̪ o nː u ]_w
[_w j a k ]_w
[_w aː m l u ]_w
[_w o b r a ]_w
[_w w ħ uː d̪ ]_w
[_w dʒ a n s ]_w
[_w j uː r i ]_w
[_w t̪ i tʃ a ]_w
[_w e f a ]_w
[_w j a f u ]_w
[_w u n iː t̪ ]_w
[_w ɡ a s ]_w
[_w t̪ ɪː ej ]_w
[_w aː m l a ]_w
[_w f aː l ]_w
[_w dʒ a r i ]_w
[_w ts ew ɡ ]_w
[_w s k ɪː d̪ ]_w
[_w aː b d̪ a ]_w
[_w d̪ː aw l ]_w
[_w n i dʒ u ]_w
[_w f d̪ aw n ]_w
[_w k ɪː l i ]_w
[_w u ħ uː d̪ ]_w
[_w d̪ a ħ d̪ ]_w
[_w i z iː r ]_w
[_w n i dʒ i ]_w
[_w e b t̪ a ]_w
[_w j k iː ʃ ]_w
[_w i l n a ]_w
[_w d̪ r iː t̪ ]_w
[_w p o fː a ]_w
[_w m ɪː ow ]_w
[_w j ej ʃ ]_w
[_w ɡ a r m ]_w
[_w t̪ l e t̪ː ]_w
[_w t̪ n uː p ]_w
[_w i d̪ː e mː ]_w
[_w e z a d̪ː ]_w
[_w d̪ː r i t̪ː ]_w
[_w p e pː i ]_w
[_w b a sː ]_w
[_w s aː r e ]_w
[_w tʃ a r a ]_w
[_w d̪ a n ]_w
[_w z b a lː ]_w
[_w t̪ a v u ]_w
[_w sː e m a ]_w
[_w b i d̪ u ]_w
[_w p a r ɡ ]_w
[_w b a ʃː ]_w
[_w p aj t̪ a ]_w
[_w n aː t̪ i ]_w
[_w b ɪː b ]_w
[_w d̪ a k ]_w
[_w d̪ j a r ]_w
[_w m a r ]_w
[_w ɡ ɪː t̪ ]_w
[_w k b a r ]_w
[_w t̪ː r i t̪ː ]_w
[_w p e n a ]_w
[_w n a r aː ]_w
[_w i l aː ]_w
[_w u s a t̪ ]_w
[_w b j a n ]_w
[_w t̪ aw l ]_w
[_w s aː b u ]_w
[_w v i l m ]_w
[_w dʒ a p u ]_w
[_w sː a ħː a ]_w
[_w l ɡ a ts ]_w
[_w j u z aw ]_w
[_w f t̪ a ]_w
[_w z d̪ e sː ]_w
[_w sː o mː ]_w
[_w b l u ]_w
[_w t̪ː n uː b ]_w
[_w s ɪː ɡ aː ]_w
[_w t̪ a ʔ a ]_w
[_w i d̪ː iː b ]_w
[_w b d̪ ew ]_w
[_w s t̪ a d̪ ]_w
[_w n i d̪ i ]_w
[_w n a k ]_w
[_w n ɪː d̪ u ]_w
[_w l b n ]_w
[_w e t̪ a ]_w
[_w aː n d̪ i ]_w
[_w v iː l ]_w
[_w ɡ e lː i ]_w
[_w ts b a lː ]_w
[_w d̪ a r u ]_w
[_w t̪ aː d̪ː i ]_w
[_w e z a t̪ː ]_w
[_w p a sː i ]_w
[_w aː t̪ aː ]_w
[_w u k o lː ]_w
[_w aw d̪ uː r ]_w
[_w ajː t̪ u ]_w
[_w i b e n ]_w
[_w j aː t̪ u ]_w
[_w t̪ l ɪː t̪ ]_w
[_w f o r ts ]_w
[_w p a uː l ]_w
[_w z e t̪ ow ]_w
[_w oː d̪ː a ]_w
[_w a n t̪ i ]_w
[_w b a b a ]_w
[_w d̪ aː l u ]_w
[_w n aː d̪ i ]_w
[_w b e r ]_w
[_w k l a bː ]_w
[_w ː l ɪː v ]_w
[_w j ħ o sː ]_w
[_w d̪ e m i ]_w
[_w ɡ o w tʃ ]_w
[_w r ɪː d̪ ]_w
[_w t̪ r a t̪ː ]_w
[_w a d̪ː iː f ]_w
[_w t̪ ɡ uː n ]_w
[_w i s e ħː ]_w
[_w ʔ d̪ iː l ]_w
[_w a pː a r ]_w
[_w aː ʔ d̪ a ]_w
[_w ɡ aː n d̪ ]_w
[_w aː m e s ]_w
[_w t̪ː a tsː a ]_w
[_w r e dʒ a ]_w
[_w j z e ħː ]_w
[_w aː n t̪ aː ]_w
[_w e jː a ]_w
[_w s b a lː ]_w
[_w b t̪ aw n ]_w
[_w s ɪː d̪ ]_w
[_w s e ħː ew ]_w
[_w m e ʃː a ]_w
[_w i b n u ]_w
[_w oː l a ]_w
[_w b i n i ]_w
[_w f a t̪ː ]_w
[_w p iː ħ ]_w
[_w i s aː r ]_w
[_w ɡ aː d̪ː ew ]_w
[_w ɡ r u pː ]_w
[_w ʔ a d̪ː ]_w
[_w k o w l ]_w
[_w d̪ i dʒ a ]_w
[_w j ɪː d̪ u ]_w
[_w i t̪ː uː r ]_w
[_w m i j a ]_w
[_w p a dʒ i ]_w
[_w s a d̪ a ]_w
[_w b n ew ]_w
[_w d̪ a v ]_w
[_w i sː iː d̪ ]_w
[_w i z o mː ]_w
[_w v o n t̪ ]_w
[_w aː r e k ]_w
[_w p a ʃː i ]_w
[_w a p e l ]_w
[_w d̪ o m ]_w
[_w t̪ m ɪː n ]_w
[_w ɡ ɪː n ]_w
[_w s o d̪ a ]_w
[_w n a ɡ ]_w
[_w i l u ]_w
[_w v iː a ]_w
[_w t̪ a n i ]_w
[_w t̪ ħ o bː ]_w
[_w f iː t̪ ]_w
[_w n aː d̪ u ]_w
[_w f l uː s ]_w
[_w i s m u ]_w
[_w i m uː t̪ ]_w
[_w dʒː iː b ]_w
[_w ɡ d̪ iː t̪ ]_w
[_w a ħ w a ]_w
[_w ɡ ɪː ɡ u ]_w
[_w f i l i ]_w
[_w s eː ħ ]_w
[_w t̪ o r t̪ ]_w
[_w l ɪː o r ]_w
[_w j k uː n ]_w
[_w aː s l a ]_w
[_w t̪ aː t̪ i ]_w
[_w p aw l ]_w
[_w dʒ ɪː d̪ ]_w
[_w m ew t̪ u ]_w
[_w b t̪ a n ]_w
[_w b oj o t̪ ]_w
[_w l e t̪ a ]_w
[_w d̪ i tʃ a ]_w
[_w d̪ː a l b ]_w
[_w t̪ o n i ]_w
[_w ʔ e d̪ ]_w
[_w j i k u ]_w
[_w i ɡ e l ]_w
[_w l ɡ a s ]_w
[_w b l ɪː d̪ ]_w
[_w p l u ]_w
[_w r a d̪ː ]_w
[_w sː e ħː ]_w
[_w n k uː n ]_w
[_w w z a t̪ ]_w
[_w t̪ aw k ]_w
[_w u e f a ]_w
[_w ɡ aː d̪ ]_w
[_w m a kː a ]_w
[_w l e j k ]_w
[_w t̪ː a l b ]_w
[_w k r u bː ]_w
[_w b e t̪ a ]_w
[_w n a r aw ]_w
[_w m ɪː d̪ u ]_w
[_w k aw ts a ]_w
[_w aː d̪ oː m ]_w
[_w tʃ a r ]_w
[_w z ew w a ]_w
[_w z d̪ a t̪ ]_w
[_w v u ʔ aː ]_w
[_w b a ʔ ow ]_w
[_w b iː l ]_w
[_w d̪ ɡ iː t̪ ]_w
[_w s eː m ]_w
[_w t̪ r a d̪ː ]_w
[_w k r ɪː k ]_w
[_w d̪ o n i ]_w
[_w t̪ a f u ]_w
[_w d̪ n uː b ]_w
[_w d̪ r a d̪ː ]_w
[_w n ej n u ]_w
[_w j o e ]_w
[_w dʒ e ɡ a ]_w
[_w n e d̪ ]_w
[_w t̪ o bː a ]_w
[_w a n d̪ ]_w
[_w b e r d̪ ]_w
[_w t̪ a ħ d̪ ]_w
[_w b n ɪː t̪ ]_w
[_w j ɡ uː n ]_w
[_w ɡ aw ts a ]_w
[_w aː n t̪ ]_w
[_w b aj t̪ a ]_w
[_w e b d̪ a ]_w
[_w t̪ i k a ]_w
[_w ɡ o lː u ]_w
[_w p j a n ]_w
[_w ʃ ʔ e t̪ ]_w
[_w d̪ aː t̪ i ]_w
[_w p r e tsː ]_w
[_w t̪ aw n ]_w
[_w ɡ e jː a ]_w
[_w aː d̪ aː ]_w
[_w l i l i ]_w
[_w a d̪ː a r ]_w
[_w aː k a ]_w
[_w d̪ ɪː ɡ uː ]_w
[_w tʃ a b u ]_w
[_w t̪ː iː m ]_w
[_w ɡ iː d̪ ]_w
[_w t̪ i z a ]_w
[_w t̪ a l ]_w
[_w m b aː t̪ ]_w
[_w tʃ a n s ]_w
[_w w i r d̪ ]_w
[_w j ħ o bː ]_w
[_w j uː z a ]_w
[_w s m aj t̪ ]_w
[_w tʃ e jː a ]_w
[_w r a s aː ]_w
[_w ʔ r iː b ]_w
[_w ɡ a t̪ː ]_w
[_w l eː n a ]_w
[_w f d̪ a ɡ ]_w
[_w i d̪ː a r ]_w
[_w m ɪː e k ]_w
[_w p a sː ]_w
[_w f iː s ]_w
[_w d̪ m ɪː n ]_w
[_w z a r ]_w
[_w zː m ɪː n ]_w
[_w n k iː t̪ ]_w
[_w aː r e ɡ ]_w
[_w ɡ e nː ]_w
[_w f t̪ iː t̪ ]_w
[_w l ɡ o lː ]_w
[_w k o nː a ]_w
[_w awː n eː kː ]_w
[_w d̪ e l f ]_w
[_w j aː d̪ u ]_w
[_w b ʔ aj t̪ ]_w
[_w l j e d̪ː ]_w
[_w aː r ɡ u ]_w
[_w z b ɪː ħ ]_w
[_w j a lː a ]_w
[_w rː iː d̪ ]_w
[_w dʒ o r dʒ ]_w
[_w s e t̪ ow ]_w
[_w m aː n a ]_w
[_w i d̪ː aw l ]_w
[_w t̪ uː r i ]_w
[_w f t̪ iː d̪ ]_w
[_w r ɪː d̪ u ]_w
[_w z e n a ]_w
[_w s p i sː ]_w
[_w ɡ l a bː ]_w
[_w f o r z ]_w
[_w l e k s ]_w
[_w m e t̪ a ]_w
[_w j a r a ]_w
[_w f o n t̪ ]_w
[_w z w ɪː dʒ ]_w
[_w dʒ a n z ]_w
[_w s e n s ]_w
[_w d̪ː l ɪː d̪ ]_w
[_w ɡ w ɪː d̪ ]_w
[_w sː i b d̪ ]_w
[_w t̪ ɡ iː ʃ ]_w
[_w j ej n u ]_w
[_w s o d̪ ]_w
[_w p u n d̪ ]_w
[_w n z iː b ]_w
[_w t̪ a ʔ t̪ ]_w
[_w tʃ a p ]_w
[_w i ħ o bː ]_w
[_w t̪ː f a l ]_w
[_w d̪ a n d̪ ]_w
[_w d̪ o n t̪ ]_w
[_w n ɪː ħ u ]_w
[_w i lː uː d̪ ]_w
[_w t̪ i b t̪ ]_w
[_w u d̪ l i ]_w
[_w aː t̪ː ew ]_w
[_w ː l ɪː f ]_w
[_w b n ɪː d̪ ]_w
[_w sː iː b ]_w
[_w j a f ]_w
[_w t̪ː ɪː n i ]_w
[_w p o r k ]_w
[_w t̪ a r aw ]_w
[_w i z m u ]_w
[_w m a r k ]_w
[_w lː i dʒ i ]_w
[_w k ɪː k u ]_w
[_w s iː t̪ ]_w
[_w t̪ a ħ aː ]_w
[_w b o fː a ]_w
[_w p aw l u ]_w
[_w p l ɪː t̪ ]_w
[_w s e d̪ a ]_w
[_w s o t̪ i ]_w
[_w t̪ aw n i ]_w
[_w ʔ aj l a ]_w
[_w sː e n s ]_w
[_w f o t̪ ]_w
[_w l uː d̪ ]_w
[_w s i t̪ː ]_w
[_w ɡ r a d̪ ]_w
[_w n i f s ]_w
[_w e s a t̪ː ]_w
[_w j ɡ iː n ]_w
[_w m a ɡː a ]_w
[_w f r o d̪ː ]_w
[_w f ʔ iː r ]_w
[_w dʒ e r d̪ ]_w
[_w z i t̪ː a ]_w
[_w ɡ o nː a ]_w
[_w t̪ r iː t̪ ]_w
[_w v i j a ]_w
[_w d̪ ɪː l a ]_w
[_w p l ɪː d̪ ]_w
[_w d̪ a tsː a ]_w
[_w d̪ a r ʃ ]_w
[_w d̪ l ɪː d̪ ]_w
[_w p t̪ iː n ]_w
[_w t̪ ʔ a l ]_w
[_w b s o nː ]_w
[_w f e r a ]_w
[_w s ɪː t̪ a ]_w
[_w f a n t̪ ]_w
[_w rː iː t̪ ]_w
[_w s i d̪ː a ]_w
[_w aː r k u ]_w
[_w ħ d̪ a n ]_w
[_w r i k a ]_w
[_w awː d̪ e ʃ ]_w
[_w s e p a ]_w
[_w d̪ː m iː r ]_w
[_w d̪ l a ʔ ]_w
[_w aː t̪ e d̪ ]_w
[_w l m o t̪ ]_w
[_w p e t̪ a ]_w
[_w j ɪː u ]_w
[_w ʔ eː t̪ a ]_w
[_w z e t̪ː ]_w
[_w z ɪː a ]_w
[_w aː s e l ]_w
[_w k o t̪ː a ]_w
[_w k t̪ iː d̪ ]_w
[_w ɡ aː d̪ aː ]_w
[_w ɡ ɪː l i ]_w
[_w l k a s ]_w
[_w f o d̪ i ]_w
[_w ħ l ɪː v ]_w
[_w b o r ɡ ]_w
[_w b i n aː ]_w
[_w dʒ a b ]_w
[_w k iː d̪ ]_w
[_w a ħ t̪ a ]_w
[_w r a d̪ ]_w
[_w j aː d̪ː u ]_w
[_w d̪ a r i ]_w
[_w ɡ a ʃː a ]_w
[_w z i sː a ]_w
[_w d̪ ɪː e k ]_w
[_w dʒ e k a ]_w
[_w b a tʃ i ]_w
[_w f w ɪː d̪ ]_w
[_w ɡ o r ɡ ]_w
[_w f ɡ u lː ]_w
[_w f w ɪː t̪ ]_w
[_w sː ew dʒ ]_w
[_w z e m a ]_w
[_w tʃ e ɡ a ]_w
[_w t̪ ħ o pː ]_w
[_w j r iː d̪ ]_w
[_w p a ʔ a ]_w
[_w aː t̪ː a ]_w
[_w ɡ e s u ]_w
[_w l o ɡ ]_w
[_w k o lː u ]_w
[_w aː d̪ e d̪ ]_w
[_w m uː r ]_w
[_w aː b t̪ a ]_w
[_w j t̪ uː r ]_w
[_w r ɪː t̪ a ]_w
[_w t̪ uː n ]_w
[_w m e n d̪ ]_w
[_w d̪ w a l ]_w
[_w dʒ e j d̪ ]_w
[_w t̪ o r ɡ ]_w
[_w b e r t̪ ]_w
[_w t̪ a r f ]_w
[_w i zː o mː ]_w
[_w i n s a ]_w
[_w r a s u ]_w
[_w i t̪ uː r ]_w
[_w k t̪ ɪː b ]_w
[_w s a p u ]_w
[_w tʃ e r t̪ ]_w
[_w d̪ e mː ]_w
[_w d̪ ɪː ej ]_w
[_w n o f s ]_w
[_w z e n z ]_w
[_w dʒ a p ]_w
[_w d̪ e n i ]_w
[_w i s o mː ]_w
[_w j d̪ uː r ]_w
[_w t̪ ɪː e ɡ ]_w
[_w m o r d̪ ]_w
[_w f ɡ a z ]_w
[_w p i t̪ u ]_w
[_w d̪ o nː aː ]_w
[_w s k ɪː t̪ ]_w
[_w aː t̪ e t̪ ]_w
[_w p i j a ]_w
[_w i p e l ]_w
[_w r ɪː t̪ ʃ ]_w
[_w b o a t̪ ]_w
[_w ʃ ɪː d̪ a ]_w
[_w d̪ aw ħ ]_w
[_w k a z ]_w
[_w s t̪ aj d̪ ]_w
[_w ej d̪ t̪ ]_w
[_w p a r k ]_w
[_w l i d̪ a ]_w
[_w l ħ a d̪ː ]_w
[_w t̪ː a l p ]_w
[_w t̪ː l ɪː d̪ ]_w
[_w aː lː i ]_w
[_w t̪ iː b ]_w
[_w l i lː ]_w
[_w r ɪː d̪ a ]_w
[_w s o t̪ a ]_w
[_w b l o ɡː ]_w
[_w t̪ k iː ʃ ]_w
[_w f d̪ iː ɡ ]_w
[_w d̪ ɪː k iː ]_w
[_w v e r s ]_w
[_w n o d̪ a ]_w
[_w j ɡ iː d̪ ]_w
[_w d̪ r iː ʔ ]_w
[_w z a t̪ a ]_w
[_w z a f a ]_w
[_w d̪ i z a ]_w
[_w ɡ l ɪː m ]_w
[_w p i zː ]_w
[_w ɡ r ɪː i ]_w
[_w t̪ a r d̪ ]_w
[_w b aː l ]_w
[_w j ʔ uː m ]_w
[_w p i n aː ]_w
[_w nː i z a ]_w
[_w t̪ o r d̪ ]_w
[_w ɡ o s t̪ ]_w
[_w n i s a ]_w
[_w d̪ i b d̪ ]_w
[_w i sː o mː ]_w
[_w n ej ʃ ]_w
[_w b t̪ ɪː t̪ ]_w
[_w l i t̪ a ]_w
[_w b e n a ]_w
[_w a t̪ː iː v ]_w
[_w b i zː ]_w
[_w b a dʒ i ]_w
[_w ɡ aː d̪ː ]_w
[_w u t̪ l i ]_w
[_w s uː r ]_w
[_w sː n iː n ]_w
[_w z uː r ]_w
[_w f t̪ iː ɡ ]_w
[_w m ɪː ɡ iː ]_w
[_w ɡ uː r a ]_w
[_w z o t̪ a ]_w
[_w z aː b u ]_w
[_w ħ uː d̪ u ]_w
[_w t̪ː m iː r ]_w
[_w r a t̪ ]_w
[_w m b aː d̪ ]_w
[_w f a lː a ]_w
[_w v o s t̪ ]_w
[_w p ɪː rː e ]_w
[_w ɡ a b ]_w
[_w z ɡ o p ]_w
[_w d̪ i k a ]_w
[_w s a b ]_w
[_w ɡ aw z a ]_w
[_w i d̪ o ʔː ]_w
[_w d̪ a ɡ ]_w
[_w m o d̪ ]_w
[_w b oː d̪ ]_w
[_w t̪ ɪː k iː ]_w
[_w f e r z ]_w
[_w b t̪ a k ]_w
[_w l o k ]_w
[_w k e jː a ]_w
[_w ɡ a z ]_w
[_w ʔ i z aː ]_w
[_w dʒ e j t̪ ]_w
[_w z a n d̪ ]_w
[_w t̪ i k i ]_w
[_w d̪ i f i ]_w
[_w j uː s a ]_w
[_w l p n ]_w
[_w ɡ ɪː n u ]_w
[_w s a mː ew ]_w
[_w sː e n a ]_w
[_w d̪ ɪː ħ u ]_w
[_w z d̪ ɪː d̪ ]_w
[_w m o ħː ]_w
[_w s a b u ]_w
[_w v e r i ]_w
[_w i s e m ]_w
[_w k e l b ]_w
[_w b l ɪː t̪ ]_w
[_w s e n z ]_w
[_w i ɡ l a ]_w
[_w l m l b ]_w
[_w l s ɪː n ]_w
[_w b aː l a ]_w
[_w aː b iː b ]_w
[_w l m ew d̪ ]_w
[_w z aː r e ]_w
[_w m a r ɡ ]_w
[_w p l o kː ]_w
[_w p a rː a ]_w
[_w p e r t̪ ]_w
[_w ɡ iː t̪ ]_w
[_w b m o d̪ ]_w
[_w l f a d̪ː ]_w
[_w ħ a pː a ]_w
[_w b iː o m ]_w
[_w d̪ o r ɡ ]_w
[_w d̪ a kː a ]_w
[_w k ɪː t̪ ]_w
[_w j ɪː t̪ u ]_w
[_w d̪ r iː d̪ ]_w
[_w p r iː m ]_w
[_w n ɡ iː t̪ ]_w
[_w d̪ r i d̪ː ]_w
[_w ʔ aː t̪ ]_w
[_w ʔ ɪː d̪ a ]_w
[_w k o r k ]_w
[_w n z o mː ]_w
[_w k w ɪː t̪ ]_w
[_w k w ɪː d̪ ]_w
[_w ɡ a r l ]_w
[_w a t̪ː a kː ]_w
[_w ħ a zː ]_w
[_w w i r t̪ ]_w
[_w r aj d̪ u ]_w
[_w p iː z ]_w
[_w f a t̪ i ]_w
[_w tʃ a b ]_w
[_w s iː a d̪ ]_w
[_w ʃ ʔ e d̪ ]_w
[_w n a v u ]_w
[_w d̪ a ʔː a ]_w
[_w i sː iː p ]_w
[_w v iː d̪ ]_w
[_w b t̪ iː n ]_w
[_w v j a ɡː ]_w
[_w p iː a ]_w
[_w t̪ aw ħ ]_w
[_w d̪ aː l ]_w
[_w aː b iː p ]_w
[_w l dʒ iː t̪ ]_w
[_w t̪ i v i ]_w
[_w z a ħː a ]_w
[_w k e j d̪ ]_w
[_w j aː t̪ː u ]_w
[_w ɡ r ɪː k ]_w
[_w p ɪː b ]_w
[_w aː ʔ t̪ a ]_w
[_w b u n d̪ ]_w
[_w s e d̪ e ]_w
[_w d̪ ɡ iː d̪ ]_w
[_w f a t̪ a ]_w
[_w d̪ m i sː ]_w
[_w d̪ː ɪː n i ]_w
[_w sː i b t̪ ]_w
[_w t̪ː n uː p ]_w
[_w t̪ ɪː k ]_w
[_w ħ a d̪ u ]_w
[_w p s o nː ]_w
[_w b a uː l ]_w
[_w d̪ ɪː u ]_w
[_w d̪ a n i ]_w
[_w b d̪ aw n ]_w
[_w d̪ w iː l ]_w
[_w v a t̪ː ]_w
[_w rː i d̪ ʃ ]_w
[_w i sː iː t̪ ]_w
[_w m a ɡ ]_w
[_w v a z i ]_w
[_w w uː d̪ ]_w
[_w z uː r a ]_w
[_w j ɡ iː ʃ ]_w
[_w z a l m ]_w
[_w k r a d̪ ]_w
[_w i r iː d̪ ]_w
[_w m a d̪ː ew ]_w
[_w i nː aː ]_w
[_w r tʃ ɪː l ]_w
[_w b o a d̪ ]_w
[_w t̪ aː d̪ i ]_w
[_w z ɡ uː r ]_w
[_w ɡ aː d̪ː a ]_w
[_w d̪ e l v ]_w
[_w i d̪ m a ]_w
[_w m oː t̪ i ]_w
[_w e ts a d̪ː ]_w
[_w t̪ a d̪ a ]_w
[_w j i k i ]_w
[_w j i ɡ u ]_w
[_w tʃ ɪː l i ]_w
[_w a d̪ː i ]_w
[_w t̪ ʔ iː z ]_w
[_w b z o nː ]_w
[_w t̪ o m ]_w
[_w d̪ ɪː e ɡ ]_w
[_w d̪ m ɪː m ]_w
[_w d̪ aw n i ]_w
[_w v e r m ]_w
[_w aː d̪ː ɪː t̪ ]_w
[_w aː d̪ t̪ ]_w
[_w d̪ iː m ]_w
[_w l e j ɡ ]_w
[_w t̪ a r v ]_w
[_w ʔ r aj d̪ ]_w
[_w v o r ts ]_w
[_w r ɪː d̪ ʃ ]_w
[_w ħ a d̪ t̪ ]_w
[_w r ɪː t̪ ]_w
[_w z o t̪ ]_w
[_w p e r d̪ ]_w
[_w r aj d̪ ]_w
[_w f l o ɡː ]_w
[_w f t̪ a k ]_w
[_w k a z i ]_w
[_w b t̪ m ]_w
[_w ɡ z uː r ]_w
[_w e l e d̪ː ]_w
[_w dʒ u z d̪ ]_w
[_w z a r u ]_w
[_w ɡ e z u ]_w
[_w d̪ a ħ ]_w
[_w ʃ ɪː ʃ ]_w
[_w f r a ]_w
[_w b aː t̪ ]_w
[_w d̪ a ʃː a ]_w
[_w ɡ ɪː k u ]_w
[_w m e d̪ a ]_w
[_w r i d̪ t̪ ]_w
[_w v oj t̪ a ]_w
[_w i tʃ iː b ]_w
[_w k s uː r ]_w
[_w b e l t̪ ]_w
[_w t̪ oː d̪ː ]_w
[_w tʃ iː d̪ ]_w
[_w k o s t̪ ]_w
[_w t̪ː ɪː d̪ a ]_w
[_w dʒ t̪ iː t̪ ]_w
[_w p i j u ]_w
[_w t̪ w a l ]_w
[_w aː n d̪ ]_w
[_w a d̪ː a ɡː ]_w
[_w k aw s a ]_w
[_w t̪ o n d̪ ]_w
[_w sː iː p ]_w
[_w z ew dʒ d̪ ]_w
[_w lː i tʃ i ]_w
[_w f iː ɡ ]_w
[_w v j a dʒː ]_w
[_w l k a z ]_w
[_w ɡ ew w a ]_w
[_w b aj d̪ a ]_w
[_w v iː s ]_w
[_w r a z i ]_w
[_w k a p ]_w
[_w d̪ ɡ uː n ]_w
[_w uː s a ]_w
[_w ɡ o r s ]_w
[_w ɡ aː t̪ a ]_w
[_w b o r t̪ ]_w
[_w k e nː ]_w
[_w p e d̪ a ]_w
[_w a d̪ː iː v ]_w
[_w p a ʃː ]_w
[_w t̪ː ɪː t̪ a ]_w
[_w ɡ o t̪ː a ]_w
[_w t̪ aː t̪ ]_w
[_w d̪ː r i d̪ː ]_w
[_w ɡ a s i ]_w
[_w ɡ e l p ]_w
[_w e d̪ a ]_w
[_w t̪ l a ʔ ]_w
[_w d̪ aw n ]_w
[_w t̪ aː t̪ː i ]_w
[_w t̪ a ɡ ]_w
[_w z e d̪ a ]_w
[_w k e l p ]_w
[_w j a ɡ ]_w
[_w d̪ iː n ]_w
[_w p l a ]_w
[_w z v a t̪ ]_w
[_w aː t̪ː ɪː d̪ ]_w
[_w v e j n ]_w
[_w l v a t̪ː ]_w
[_w d̪ a ħ aː ]_w
[_w u dʒ iː ħ ]_w
[_w ʃ o r b ]_w
[_w n i f z ]_w
[_w p a ʔ ow ]_w
[_w j s iː p ]_w
