[_w z e k ]_w
[_w r a e ]_w
[_w t i u ]_w
[_w a b u ɣ ]_w
[_w b o i r ]_w
[_w e r a t ]_w
[_w a b o z ]_w
[_w a d a s ]_w
[_w m i s ]_w
[_w s a d e ]_w
[_w b a b ]_w
[_w b u ɡ ]_w
[_w a k a d ]_w
[_w ɣ o d ]_w
[_w ɡ a p ]_w
[_w p a b ]_w
[_w a ɡ a b ]_w
[_w i z e ɡ ]_w
[_w o k o ŋ ]_w
[_w a p o r ]_w
[_w d e m ]_w
[_w t a d ]_w
[_w z u d ]_w
[_w m i d ]_w
[_w s o z ]_w
[_w k u p ]_w
[_w d e r ]_w
[_w b e d ]_w
[_w a ɡ a ɣ ]_w
[_w d e t ]_w
[_w t a e d ]_w
[_w p a t u ]_w
[_w m e e d ]_w
[_w p o e ]_w
[_w ɡ i ŋ ]_w
[_w b i k ]_w
[_w ɡ a i z ]_w
[_w s p e n ]_w
[_w d a β ]_w
[_w e p o b ]_w
[_w ɡ a t ]_w
[_w ɡ i s ]_w
[_w a d a d ]_w
[_w d e p i ]_w
[_w a b u ]_w
[_w t e m ]_w
[_w a ɡ a k ]_w
[_w t a b ]_w
[_w b o e s ]_w
[_w k i t i ]_w
[_w b i d a ]_w
[_w d i u ]_w
[_w r e d ]_w
[_w d e β ]_w
[_w ɡ e ɡ ]_w
[_w o k a d ]_w
[_w z a d ]_w
[_w z i b ]_w
[_w d e u r ]_w
[_w d e t e ]_w
[_w p i i n ]_w
[_w a b o i ]_w
[_w ɡ a r e ]_w
[_w k a b ]_w
[_w k a o ]_w
[_w d o k ]_w
[_w o ɡ o d ]_w
[_w k i s ]_w
[_w ɡ u d ]_w
[_w z o n ɡ ]_w
[_w r a b ]_w
[_w a b a β ]_w
[_w a p e d ]_w
[_w b o ɡ i ]_w
[_w p a d u ]_w
[_w p o e s ]_w
[_w d i s ]_w
[_w d i b i ]_w
[_w d e ɡ ]_w
[_w ɡ o e s ]_w
[_w p a l ]_w
[_w a d a z ]_w
[_w z o d u ]_w
[_w d o t u ]_w
[_w s a ɡ ]_w
[_w t i s ]_w
[_w d e ŋ ]_w
[_w o r a d ]_w
[_w m e s ]_w
[_w a d a m ]_w
[_w r e e d ]_w
[_w ɡ i d i ]_w
[_w d a ŋ ]_w
[_w t a i d ]_w
[_w u i d ]_w
[_w d a a ]_w
[_w a β a b ]_w
[_w k a a ]_w
[_w o k o b ]_w
[_w ɣ e d ]_w
[_w b a d u ]_w
[_w k e s ]_w
[_w z a d e ]_w
[_w d e n ]_w
[_w a d a ŋ ]_w
[_w ɡ i z ]_w
[_w i s a b ]_w
[_w m i d a ]_w
[_w e ŋ a d ]_w
[_w s o n ɡ ]_w
[_w z a ɡ i ]_w
[_w p a d ]_w
[_w a d a t ]_w
[_w u d a p ]_w
[_w a k o b ]_w
[_w i s a r ]_w
[_w m a b ]_w
[_w m u s ]_w
[_w b o i s ]_w
[_w d a a z ]_w
[_w t e s ]_w
[_w z o β a ]_w
[_w l i b ]_w
[_w p e d i ]_w
[_w s a d ]_w
[_w k i b ]_w
[_w ɡ a ɡ ]_w
[_w o p e d ]_w
[_w ɡ a b ]_w
[_w e m a d ]_w
[_w d o t ]_w
[_w r u a d ]_w
[_w a n a d ]_w
[_w d o d ]_w
[_w d a i d ]_w
[_w o b u l ]_w
[_w e s i a ]_w
[_w z e ɡ ]_w
[_w r u ɡ a ]_w
[_w k o e s ]_w
[_w d o m ]_w
[_w p o ɡ i ]_w
[_w d u ɣ o ]_w
[_w i z a b ]_w
[_w k a ɡ ]_w
[_w d a e ɡ ]_w
[_w e d e b ]_w
[_w e b e ɡ ]_w
[_w t e b i ]_w
[_w e b e k ]_w
[_w p o b ]_w
[_w p i ɡ ]_w
[_w m o b ]_w
[_w z e s i ]_w
[_w s o b a ]_w
[_w a z i d ]_w
[_w d o ɣ ]_w
[_w d a a d ]_w
[_w i s i b ]_w
[_w d a e d ]_w
[_w b a ɡ ]_w
[_w d i k ]_w
[_w e b a ŋ ]_w
[_w a b o ɡ ]_w
[_w o ɡ o b ]_w
[_w ɡ a d ]_w
[_w a ɡ a d ]_w
[_w a ɡ a ɡ ]_w
[_w d e d ]_w
[_w u r a d ]_w
[_w z a b ]_w
[_w a ɡ e ɡ ]_w
[_w z o b a ]_w
[_w k r i ɡ ]_w
[_w b a d ]_w
[_w e b a d ]_w
[_w l o b ]_w
[_w e d e i ]_w
[_w k r i d ]_w
[_w s a b ]_w
[_w o ɡ a d ]_w
[_w ɡ o e b ]_w
[_w b i i d ]_w
[_w ɣ o b ]_w
[_w d i d ]_w
[_w o r e b ]_w
[_w t e e d ]_w
[_w ɡ o b ]_w
[_w p u ɡ ]_w
[_w k o b ]_w
[_w ɣ e b ]_w
[_w t e b ]_w
[_w e d a d ]_w
[_w o b e t ]_w
[_w u d a b ]_w
[_w r o b ]_w
[_w a r o b ]_w
[_w d e d e ]_w
[_w d e b ]_w
[_w e b o b ]_w
[_w t o b ]_w
[_w a b e d ]_w
[_w s i ɡ o ]_w
[_w d a b ]_w
[_w e b e s ]_w
[_w d e e d ]_w
[_w d e b i ]_w
[_w ɡ r i ɡ ]_w
[_w d o b ]_w
[_w z i ɡ o ]_w
[_w b i ɡ ]_w
[_w e d e d ]_w
[_w d i ɡ ]_w
[_w o b e d ]_w
